epoch:0 f1:0.0811913822862728 mse:0.06688592318141307 correlation_coeff:-0.044938131148621635
epoch:1 f1:0.08953704409373102 mse:0.06579274576518787 correlation_coeff:-0.06148223527224893
epoch:2 f1:0.09766487799274685 mse:0.06671873901680286 correlation_coeff:-0.11512040909946322
epoch:19 f1:0.10348458195779818 mse:0.08472057906172671 correlation_coeff:-0.040749460443447176
epoch:23 f1:0.1048284564549156 mse:0.09492076339362336 correlation_coeff:-0.027539194058868056
epoch:26 f1:0.10547694861420351 mse:0.1122557092721153 correlation_coeff:-0.06440413250034997
epoch:43 f1:0.10695557648622928 mse:0.10132516064562287 correlation_coeff:-0.07297331953031552
epoch:77 f1:0.11249309151269934 mse:0.15114980018652224 correlation_coeff:-0.04791356996149307
epoch:93 f1:0.11495326635677511 mse:0.10718933920961696 correlation_coeff:-0.04298637066476256
epoch:110 f1:0.11498641677114782 mse:0.12651875776161203 correlation_coeff:-0.012810307341125062
epoch:120 f1:0.12639625344291788 mse:0.11984712691895329 correlation_coeff:-0.04039933817340311
epoch:144 f1:0.13205466535004648 mse:0.14578766583736308 correlation_coeff:-0.07197141957525977
