************
Unfreezing dense_21
****************
p:0.09292781415756074	 r:0.14078587222270925	 f1(macro):0.11191610458626165	 acc:0.5404191616766467
p:0.09765775618510807	 r:0.14532012506940184	 f1(macro):0.11664297264684187	 acc:0.5479041916167665
p:0.34524399188621213	 r:0.18055202201199627	 f1(macro):0.15757800006341305	 acc:0.5089820359281437
p:0.3302345106878924	 r:0.18940546437400865	 f1(macro):0.17949081216562932	 acc:0.5449101796407185
p:0.3818497869812012	 r:0.2342980386536017	 f1(macro):0.24398795247582322	 acc:0.5643712574850299
p:0.2997533002086134	 r:0.27407632643506674	 f1(macro):0.2594460208157914	 acc:0.5374251497005988
p:0.39845423123348817	 r:0.33206492100935164	 f1(macro):0.30706096451672543	 acc:0.5389221556886228
p:0.47852654107757353	 r:0.4100217121306638	 f1(macro):0.3770835786707809	 acc:0.561377245508982
p:0.529832620830806	 r:0.4291713687767255	 f1(macro):0.4262699429737999	 acc:0.5898203592814372
p:0.588247708017823	 r:0.4901505077496593	 f1(macro):0.4911878610474246	 acc:0.6122754491017964
p:0.6113184575261654	 r:0.58712783492123	 f1(macro):0.5759193145004721	 acc:0.6182634730538922
p:0.637653403053045	 r:0.6118179249530677	 f1(macro):0.5939124356564723	 acc:0.6407185628742516
p:0.6409534025464692	 r:0.653728815503825	 f1(macro):0.6167708093351032	 acc:0.6601796407185628
p:0.6738936423063959	 r:0.6985216176655905	 f1(macro):0.6629669053685936	 acc:0.6856287425149701
p:0.6698432981046895	 r:0.7102160985673258	 f1(macro):0.672413859370424	 acc:0.6916167664670658
p:0.6712567690628926	 r:0.7313386749173058	 f1(macro):0.6815821686903605	 acc:0.7020958083832335
p:0.6972960966357193	 r:0.7328822470117847	 f1(macro):0.6899721747851966	 acc:0.688622754491018
p:0.7133543276964104	 r:0.7442320797918737	 f1(macro):0.7009176878637647	 acc:0.7080838323353293
p:0.7079055444537559	 r:0.73360598602887	 f1(macro):0.7014089184727467	 acc:0.7020958083832335
p:0.7158735227827813	 r:0.7353289773057372	 f1(macro):0.7117455362674581	 acc:0.7065868263473054
p:0.7404697989946364	 r:0.7351873088467966	 f1(macro):0.7193873480185006	 acc:0.7215568862275449
p:0.7404697989946364	 r:0.7351873088467966	 f1(macro):0.7193873480185006	 acc:0.7215568862275449
avg_prec: 0.7404697989946364 total_rec: 0.7351873088467966 total_f1: 0.7193873480185006 total_acc: 0.7215568862275449 
