************
Unfreezing dense_57
****************
p:0.17350684017350682	 r:0.11475409836065574	 f1(macro):0.0869692036358703	 acc:0.562874251497006
p:0.1743615761880602	 r:0.13114754098360656	 f1(macro):0.1145627522122834	 acc:0.5763473053892215
p:0.17455470737913487	 r:0.13479052823315119	 f1(macro):0.11980785450173206	 acc:0.5793413173652695
p:0.2857628270472307	 r:0.13779353123615418	 f1(macro):0.12573437660474318	 acc:0.5808383233532934
p:0.285982905982906	 r:0.14113942995331616	 f1(macro):0.13065378289473684	 acc:0.5823353293413174
p:0.39312169312169315	 r:0.22895480823837067	 f1(macro):0.20243277565267798	 acc:0.5853293413173652
p:0.3654040404040404	 r:0.2417682683842522	 f1(macro):0.21188971342544435	 acc:0.5838323353293413
p:0.37979108203519807	 r:0.2600994276519233	 f1(macro):0.2503947548065195	 acc:0.5913173652694611
p:0.41436001937794054	 r:0.27371507475718676	 f1(macro):0.2555176338652553	 acc:0.594311377245509
p:0.41444106158158445	 r:0.28629582422104805	 f1(macro):0.2732270335280755	 acc:0.6107784431137725
p:0.5230755972422638	 r:0.3675076119677446	 f1(macro):0.3636847388442372	 acc:0.6212574850299402
p:0.47644688123835965	 r:0.3535170926558779	 f1(macro):0.3696900586027744	 acc:0.6167664670658682
p:0.5063676534004344	 r:0.3446355714500821	 f1(macro):0.37698060993682325	 acc:0.6362275449101796
p:0.5253226820679937	 r:0.3674824259452271	 f1(macro):0.40741356164159553	 acc:0.6616766467065869
p:0.4944030493297303	 r:0.3866534176427109	 f1(macro):0.4164776672426945	 acc:0.6631736526946108
p:0.5366966269684519	 r:0.3727977593535238	 f1(macro):0.4226205274654112	 acc:0.6616766467065869
p:0.5088334830853322	 r:0.3918622696185825	 f1(macro):0.431295388526297	 acc:0.6691616766467066
p:0.5501363658637207	 r:0.39308994012513465	 f1(macro):0.44105826156140626	 acc:0.6766467065868264
p:0.5025391334940691	 r:0.4194407194246677	 f1(macro):0.44182634763875445	 acc:0.6811377245508982
p:0.49097082595821706	 r:0.4127357441086118	 f1(macro):0.4426828234454802	 acc:0.6826347305389222
p:0.5088377808261738	 r:0.4078256025327785	 f1(macro):0.44535528067902735	 acc:0.6826347305389222
p:0.5412171134559194	 r:0.40585808423342895	 f1(macro):0.4498325552265604	 acc:0.6811377245508982
p:0.5658171755872905	 r:0.4144640231781489	 f1(macro):0.4626792641948584	 acc:0.688622754491018
p:0.5658171755872905	 r:0.4144640231781489	 f1(macro):0.4626792641948584	 acc:0.688622754491018
avg_prec: 0.5658171755872905 total_rec: 0.4144640231781489 total_f1: 0.4626792641948584 total_acc: 0.688622754491018 
