************
Unfreezing dense_24
****************
p:0.12128273338496592	 r:0.13376036093805702	 f1(macro):0.12265490939258838	 acc:0.47155688622754494
p:0.12929685392045762	 r:0.14059106007032718	 f1(macro):0.12292298879992201	 acc:0.5778443113772455
p:0.15635327635327634	 r:0.13813642695031317	 f1(macro):0.12314027338255978	 acc:0.5808383233532934
p:0.14949807674265878	 r:0.14088814860270985	 f1(macro):0.12612541669947763	 acc:0.5793413173652695
************
Unfreezing dense_24
****************
************
Unfreezing dense_24
****************
p:0.24996487530734107	 r:0.20680612498468118	 f1(macro):0.19794739372307735	 acc:0.5553892215568862
p:0.22470499822625514	 r:0.2216651172695341	 f1(macro):0.20771424496182814	 acc:0.5523952095808383
p:0.47556312147059476	 r:0.2525017460883791	 f1(macro):0.2390139954403875	 acc:0.5583832335329342
p:0.43702210841636446	 r:0.25895228853895585	 f1(macro):0.24258898232721135	 acc:0.5494011976047904
p:0.3283493094457178	 r:0.2417163479728583	 f1(macro):0.24487808129281	 acc:0.5598802395209581
p:0.44827625852016095	 r:0.29943063661510255	 f1(macro):0.2917259239832155	 acc:0.5658682634730539
p:0.420246608855797	 r:0.3233060920431348	 f1(macro):0.3050135042336318	 acc:0.5703592814371258
p:0.4159066343586468	 r:0.33576633415170526	 f1(macro):0.31252289576140435	 acc:0.5793413173652695
p:0.38367036936329063	 r:0.3525000453641105	 f1(macro):0.3183162988178974	 acc:0.5793413173652695
p:0.39312461873133003	 r:0.36196128495829566	 f1(macro):0.33325673966596664	 acc:0.5793413173652695
p:0.4459733089051981	 r:0.3798801738740006	 f1(macro):0.35662727110723874	 acc:0.5958083832335329
p:0.5334944200716012	 r:0.3980088105821868	 f1(macro):0.40196046548454795	 acc:0.6062874251497006
p:0.5375266087545781	 r:0.4195682852709751	 f1(macro):0.40664347202547113	 acc:0.6002994011976048
p:0.5456507751132498	 r:0.43551906131136425	 f1(macro):0.41147520063928733	 acc:0.6017964071856288
p:0.547255959074413	 r:0.45721333398867664	 f1(macro):0.4331422878495548	 acc:0.6077844311377245
p:0.5497531196628964	 r:0.47789734188526783	 f1(macro):0.4605568533286007	 acc:0.6287425149700598
p:0.5253009329319032	 r:0.47118465192832876	 f1(macro):0.4690511134510335	 acc:0.6317365269461078
p:0.5781196029200717	 r:0.5123407382187409	 f1(macro):0.5045673931170594	 acc:0.625748502994012
p:0.5689673071614352	 r:0.5265762120888016	 f1(macro):0.5065353947377086	 acc:0.6362275449101796
p:0.6185843749595854	 r:0.552665904046171	 f1(macro):0.5555446728211662	 acc:0.6721556886227545
p:0.620713996521197	 r:0.6004370372703524	 f1(macro):0.5790434030074008	 acc:0.6706586826347305
p:0.6006297396107997	 r:0.6229385645661276	 f1(macro):0.5866116782530727	 acc:0.6601796407185628
p:0.6679560676947046	 r:0.6413142503855096	 f1(macro):0.6150894295931217	 acc:0.6751497005988024
p:0.6352474713979128	 r:0.6820564367780064	 f1(macro):0.6426705361559499	 acc:0.6766467065868264
p:0.6442451822955152	 r:0.690834068991933	 f1(macro):0.6456930365033958	 acc:0.6901197604790419
p:0.6476948634455045	 r:0.6989267964486865	 f1(macro):0.6495185452279979	 acc:0.6541916167664671
p:0.6357288742230972	 r:0.7027696076918774	 f1(macro):0.6514101960425969	 acc:0.6781437125748503
p:0.6271296835837631	 r:0.7194731942620145	 f1(macro):0.6545152218132699	 acc:0.6826347305389222
p:0.6630216239195864	 r:0.7080325307692343	 f1(macro):0.6652176214678486	 acc:0.7080838323353293
p:0.6524519299167185	 r:0.7149530866685252	 f1(macro):0.6709057844005996	 acc:0.6976047904191617
p:0.6555889690966371	 r:0.7241571981281161	 f1(macro):0.67316213862871	 acc:0.6976047904191617
p:0.6652162112763951	 r:0.7263396533259008	 f1(macro):0.6839307932456824	 acc:0.7155688622754491
p:0.669620959178435	 r:0.7358726877575635	 f1(macro):0.6848011275761228	 acc:0.7050898203592815
p:0.6908122331181105	 r:0.7345345465988622	 f1(macro):0.7028277197107631	 acc:0.7290419161676647
p:0.7161653322730426	 r:0.7388307950799972	 f1(macro):0.7174599272181543	 acc:0.7290419161676647
************
Unfreezing dense_24
****************
p:0.7161653322730426	 r:0.7388307950799972	 f1(macro):0.7174599272181543	 acc:0.7290419161676647
avg_prec: 0.7161653322730426 total_rec: 0.7388307950799972 total_f1: 0.7174599272181543 total_acc: 0.7290419161676647 
