************
Unfreezing dense_60
****************
p:0.1737891737891738	 r:0.12021857923497269	 f1(macro):0.09698073632499862	 acc:0.5673652694610778
p:0.17397881996974282	 r:0.1238615664845173	 f1(macro):0.10317640743898204	 acc:0.5703592814371258
p:0.17426545086119555	 r:0.12932604735883424	 f1(macro):0.11183292693282867	 acc:0.5748502994011976
p:0.1743615761880602	 r:0.13114754098360656	 f1(macro):0.1145627522122834	 acc:0.5763473053892215
************
Unfreezing dense_60
****************
p:0.1744579945799458	 r:0.13296903460837886	 f1(macro):0.11722007950229789	 acc:0.5778443113772455
p:0.17455470737913487	 r:0.13479052823315119	 f1(macro):0.11980785450173206	 acc:0.5793413173652695
p:0.16717145936135214	 r:0.13631493332554084	 f1(macro):0.1216453987939664	 acc:0.5793413173652695
p:0.16153127917833798	 r:0.1378393384179305	 f1(macro):0.12338544923910774	 acc:0.5793413173652695
p:0.16773176550783914	 r:0.13813642695031317	 f1(macro):0.1240784340199545	 acc:0.5808383233532934
p:0.1747490216096648	 r:0.1384335154826958	 f1(macro):0.12478575536536894	 acc:0.5823353293413174
************
Unfreezing dense_60
****************
p:0.2727400703871292	 r:0.1501850174302762	 f1(macro):0.1456864316239316	 acc:0.5808383233532934
p:0.3653254583487142	 r:0.16810935888402942	 f1(macro):0.17530778924780693	 acc:0.5793413173652695
p:0.3901495726495727	 r:0.16900062448117736	 f1(macro):0.1782044778138528	 acc:0.5838323353293413
p:0.4347800925925926	 r:0.2269650059749706	 f1(macro):0.21506248998689936	 acc:0.5868263473053892
p:0.45861752338744377	 r:0.22726209450735327	 f1(macro):0.22616411689536983	 acc:0.5883233532934131
p:0.44617909048288795	 r:0.22122406311435233	 f1(macro):0.23525732450560255	 acc:0.5868263473053892
p:0.4928336832592152	 r:0.24779435289355442	 f1(macro):0.23753957649930857	 acc:0.594311377245509
p:0.37911572772397517	 r:0.2820650084468666	 f1(macro):0.2667704884959841	 acc:0.592814371257485
p:0.5062659420531224	 r:0.27781001305789416	 f1(macro):0.30273789266052503	 acc:0.6047904191616766
p:0.42873494228561	 r:0.3122086086241276	 f1(macro):0.30397708311839117	 acc:0.624251497005988
p:0.4254871169862029	 r:0.3221605746030247	 f1(macro):0.3074399655646305	 acc:0.6227544910179641
p:0.4041090922066065	 r:0.31012830618977794	 f1(macro):0.31300590558856567	 acc:0.6302395209580839
p:0.4398913603120216	 r:0.36222163482784797	 f1(macro):0.3271700920761937	 acc:0.624251497005988
p:0.551681962867441	 r:0.3735236821902449	 f1(macro):0.35250059916642296	 acc:0.6362275449101796
p:0.4940112356779024	 r:0.32613998780710984	 f1(macro):0.35463775445525125	 acc:0.6317365269461078
p:0.4681949060935757	 r:0.3438773108074058	 f1(macro):0.35551133602871643	 acc:0.6407185628742516
p:0.5239021083999911	 r:0.3744087435719587	 f1(macro):0.35902114639390975	 acc:0.6302395209580839
p:0.49156180338976035	 r:0.34725839681885434	 f1(macro):0.36126359645352313	 acc:0.6407185628742516
p:0.4888357590160994	 r:0.36794285125930437	 f1(macro):0.3656282119304656	 acc:0.6437125748502994
p:0.5178258335092768	 r:0.3777128667194467	 f1(macro):0.37172159518158565	 acc:0.6437125748502994
p:0.44283054433964164	 r:0.3763674332216486	 f1(macro):0.37293846698267547	 acc:0.6377245508982036
p:0.49204553143172064	 r:0.3797887196373205	 f1(macro):0.37664759493679445	 acc:0.6437125748502994
p:0.4869011189998844	 r:0.3748045501930098	 f1(macro):0.3879572948060457	 acc:0.6407185628742516
p:0.5313357282441212	 r:0.3940123871067945	 f1(macro):0.4020621483896301	 acc:0.6452095808383234
p:0.5417542141957757	 r:0.36819032256464834	 f1(macro):0.40744191087000453	 acc:0.6482035928143712
p:0.5140293483225741	 r:0.4017329649608356	 f1(macro):0.416617407144644	 acc:0.6482035928143712
p:0.48425057603979166	 r:0.4331190088402988	 f1(macro):0.4220430826471969	 acc:0.6586826347305389
p:0.5128037973888699	 r:0.41657856386736514	 f1(macro):0.44214990723753816	 acc:0.6661676646706587
p:0.5444794380949576	 r:0.4028467051992247	 f1(macro):0.4422140715934082	 acc:0.6661676646706587
p:0.5225865508412003	 r:0.4094060611963494	 f1(macro):0.44961665258443073	 acc:0.6796407185628742
************
Unfreezing dense_60
****************
p:0.5470842286318477	 r:0.41565611378056416	 f1(macro):0.45170594820146603	 acc:0.6841317365269461
p:0.5355662848702728	 r:0.4191321657258835	 f1(macro):0.45583755631206213	 acc:0.688622754491018
p:0.5853732038215432	 r:0.4103127558860457	 f1(macro):0.4618855632083292	 acc:0.6976047904191617
p:0.5476124852416229	 r:0.42311333436981363	 f1(macro):0.46418001735563547	 acc:0.6976047904191617
p:0.5702969192426305	 r:0.42186867197025807	 f1(macro):0.4661473980878572	 acc:0.6961077844311377
p:0.5740114657734795	 r:0.41595224342109555	 f1(macro):0.4695221954250056	 acc:0.7005988023952096
p:0.5887963887279892	 r:0.45190579870641734	 f1(macro):0.4828370125448536	 acc:0.6946107784431138
p:0.5887963887279892	 r:0.45190579870641734	 f1(macro):0.4828370125448536	 acc:0.6946107784431138
avg_prec: 0.5887963887279892 total_rec: 0.45190579870641734 total_f1: 0.4828370125448536 total_acc: 0.6946107784431138 
