************
Unfreezing dense_9
****************
p:0.06220891550232868	 r:0.1111111111111111	 f1(macro):0.0797611431008744	 acc:0.5598802395209581
p:0.21190883190883192	 r:0.1320789016400238	 f1(macro):0.11700829422960951	 acc:0.5733532934131736
p:0.17822630814958182	 r:0.1444034885872925	 f1(macro):0.13367747192588458	 acc:0.5778443113772455
p:0.22100293570881804	 r:0.14600402164036078	 f1(macro):0.1394506336711684	 acc:0.5778443113772455
p:0.27181433703172836	 r:0.16459510391021231	 f1(macro):0.15803830390262663	 acc:0.5793413173652695
p:0.225628031318649	 r:0.17596955101159986	 f1(macro):0.17582053555817426	 acc:0.5913173652694611
p:0.22528820210939415	 r:0.21677151044063647	 f1(macro):0.19722301047161325	 acc:0.5958083832335329
p:0.25765221511490166	 r:0.2210482034998193	 f1(macro):0.2112681938443102	 acc:0.594311377245509
p:0.28950164407631973	 r:0.2692353166540396	 f1(macro):0.216503856523572	 acc:0.5913173652694611
p:0.2843221176903404	 r:0.24131959104030937	 f1(macro):0.22256030431199816	 acc:0.5913173652694611
p:0.25320154137836376	 r:0.25719201718047136	 f1(macro):0.2267881244041334	 acc:0.5958083832335329
p:0.41914691311243035	 r:0.3154424674186245	 f1(macro):0.2680037213782864	 acc:0.6107784431137725
p:0.4550089542038326	 r:0.2999533953094135	 f1(macro):0.28031989555363857	 acc:0.6122754491017964
p:0.4844129730453083	 r:0.3240073334571862	 f1(macro):0.29494925093544766	 acc:0.6212574850299402
p:0.39783693093552247	 r:0.32894520362338836	 f1(macro):0.30554537702235135	 acc:0.6272455089820359
p:0.4492219515120863	 r:0.33097217141699065	 f1(macro):0.3169081005182436	 acc:0.6332335329341318
p:0.4374546059301209	 r:0.33915102468948694	 f1(macro):0.34712934217128644	 acc:0.6497005988023952
p:0.5171526205472458	 r:0.35069306570167774	 f1(macro):0.35177918580219153	 acc:0.6482035928143712
p:0.4515645811433983	 r:0.3727477251343869	 f1(macro):0.36058029941191455	 acc:0.6497005988023952
p:0.44653681268442136	 r:0.37934117984372795	 f1(macro):0.37483263853484705	 acc:0.6392215568862275
p:0.46160682248837254	 r:0.3835102125482381	 f1(macro):0.39072869085100903	 acc:0.6467065868263473
p:0.489503702948312	 r:0.38409065687735106	 f1(macro):0.40567059188914584	 acc:0.6437125748502994
p:0.4932564487497222	 r:0.4132471054753741	 f1(macro):0.42431909238922316	 acc:0.6586826347305389
p:0.48048363732363836	 r:0.44248017325785843	 f1(macro):0.4354169298871377	 acc:0.6661676646706587
p:0.5097453987885697	 r:0.42791201138399	 f1(macro):0.4413435842555541	 acc:0.6736526946107785
p:0.49348423286341725	 r:0.4323037025387413	 f1(macro):0.4450370077206476	 acc:0.6826347305389222
p:0.5111936525753216	 r:0.4190278980020043	 f1(macro):0.4495727131401257	 acc:0.6796407185628742
p:0.5391292186828557	 r:0.41852939223981267	 f1(macro):0.4528411845437286	 acc:0.6826347305389222
p:0.505414747247778	 r:0.45452765349103363	 f1(macro):0.4627376301653794	 acc:0.6781437125748503
p:0.5266516596786739	 r:0.4702942538593946	 f1(macro):0.4844028727564116	 acc:0.6826347305389222
p:0.5266516596786739	 r:0.4702942538593946	 f1(macro):0.4844028727564116	 acc:0.6826347305389222
avg_prec: 0.5266516596786739 total_rec: 0.4702942538593946 total_f1: 0.4844028727564116 total_acc: 0.6826347305389222 
