************
Unfreezing dense_12
****************
p:0.06314699792960662	 r:0.10873440285204991	 f1(macro):0.07989521938441388	 acc:0.5479041916167665
p:0.17381072449151116	 r:0.11445700982827309	 f1(macro):0.08714055670577409	 acc:0.561377245508982
p:0.15111724500525764	 r:0.11708634058761128	 f1(macro):0.09609416349221686	 acc:0.5508982035928144
p:0.10167029774872913	 r:0.12656243310411192	 f1(macro):0.10685476297798815	 acc:0.5494011976047904
p:0.09196062346185398	 r:0.13691182869940915	 f1(macro):0.10864545156580555	 acc:0.4940119760479042
p:0.11571637199846342	 r:0.1318905503432831	 f1(macro):0.11619570303087277	 acc:0.5344311377245509
************
Unfreezing dense_12
****************
p:0.15384287661895024	 r:0.13449343970076855	 f1(macro):0.11830642824794874	 acc:0.5778443113772455
p:0.12477282062535518	 r:0.13969979447317923	 f1(macro):0.12151120285554552	 acc:0.5733532934131736
p:0.23020727149167516	 r:0.13555301393654426	 f1(macro):0.12231533631956497	 acc:0.5793413173652695
************
Unfreezing dense_12
****************
p:0.16170195676837043	 r:0.13813642695031317	 f1(macro):0.12360225140712945	 acc:0.5808383233532934
p:0.15400341830017256	 r:0.14177941419985776	 f1(macro):0.1272544850815795	 acc:0.5838323353293413
p:0.15086694378908738	 r:0.1430067307598648	 f1(macro):0.12852625512095578	 acc:0.5823353293413174
p:0.13569993754325552	 r:0.14546136387987885	 f1(macro):0.12897738404124678	 acc:0.5793413173652695
p:0.13091100579252238	 r:0.1469857689722685	 f1(macro):0.12937906874103497	 acc:0.5793413173652695
p:0.13798908626494832	 r:0.14546136387987885	 f1(macro):0.12942854247202074	 acc:0.5793413173652695
p:0.2686358385676124	 r:0.14254189990325086	 f1(macro):0.13059953744885253	 acc:0.5838323353293413
p:0.19332636711947057	 r:0.14969909450858523	 f1(macro):0.1396021216547	 acc:0.5853293413173652
p:0.20417551309271056	 r:0.15358651835743625	 f1(macro):0.14748629103448874	 acc:0.5853293413173652
p:0.1804726043417481	 r:0.155629538868309	 f1(macro):0.14757835407906494	 acc:0.5883233532934131
p:0.2055742611298167	 r:0.16961025257542492	 f1(macro):0.16648372834697864	 acc:0.5748502994011976
p:0.19850274641546944	 r:0.1733610419794291	 f1(macro):0.17072126558107867	 acc:0.5823353293413174
p:0.25766623528686755	 r:0.1783944419117436	 f1(macro):0.18116008501689104	 acc:0.5793413173652695
p:0.24217229768953905	 r:0.18843909337832238	 f1(macro):0.18229965511893678	 acc:0.5793413173652695
p:0.20871226790663502	 r:0.19840704474374946	 f1(macro):0.18977687670440166	 acc:0.5793413173652695
p:0.2328898173240992	 r:0.20809706263048866	 f1(macro):0.20443596157142319	 acc:0.5913173652694611
p:0.255258627178716	 r:0.21275916579901688	 f1(macro):0.21805958692931873	 acc:0.5898203592814372
p:0.2433820968303727	 r:0.2313434155622041	 f1(macro):0.2237904791568614	 acc:0.5778443113772455
p:0.27438338326949085	 r:0.22401190471161195	 f1(macro):0.23022724544467557	 acc:0.5823353293413174
p:0.25729618402032195	 r:0.24383122146123648	 f1(macro):0.2325023526248572	 acc:0.5958083832335329
p:0.2470600623288196	 r:0.2678537495989448	 f1(macro):0.2374092938357309	 acc:0.594311377245509
p:0.28414196954501963	 r:0.24000030864644803	 f1(macro):0.24691357939426414	 acc:0.5988023952095808
p:0.28705811366465483	 r:0.24956360271782665	 f1(macro):0.24994799757913994	 acc:0.6002994011976048
p:0.2858756591681461	 r:0.2900845444024633	 f1(macro):0.26689414694778246	 acc:0.592814371257485
p:0.273217590241698	 r:0.2909802173442818	 f1(macro):0.2699841297679343	 acc:0.6032934131736527
p:0.41762782875903753	 r:0.2829811497731401	 f1(macro):0.29206505525715926	 acc:0.6032934131736527
p:0.4103390770057437	 r:0.33653119394253933	 f1(macro):0.29553124030562966	 acc:0.5973053892215568
************
Unfreezing dense_12
****************
p:0.523228708201378	 r:0.3413782058572541	 f1(macro):0.3198138153440772	 acc:0.6077844311377245
p:0.5059379566675576	 r:0.3353451487463063	 f1(macro):0.32753388047746523	 acc:0.6122754491017964
p:0.4776557910406632	 r:0.3771494944954616	 f1(macro):0.3604853565554266	 acc:0.6317365269461078
p:0.4475955682383638	 r:0.35088552465980394	 f1(macro):0.3610984290447569	 acc:0.6377245508982036
p:0.46428412705535876	 r:0.3641698794196866	 f1(macro):0.361167257899151	 acc:0.6347305389221557
p:0.49491138971658455	 r:0.3718396629285142	 f1(macro):0.37634142258713765	 acc:0.6362275449101796
p:0.4507123091893207	 r:0.38184984479373846	 f1(macro):0.3919888266070072	 acc:0.6631736526946108
p:0.5034422802118916	 r:0.4281327357314417	 f1(macro):0.42438530506643324	 acc:0.6631736526946108
p:0.5227896031870859	 r:0.3852993711450256	 f1(macro):0.4266488951322002	 acc:0.6811377245508982
p:0.4964203493041279	 r:0.4105931570366278	 f1(macro):0.4338819448890461	 acc:0.6631736526946108
p:0.526848795544267	 r:0.4177092280686301	 f1(macro):0.4452484085703357	 acc:0.6616766467065869
p:0.5507164936050493	 r:0.4017791704149063	 f1(macro):0.4512482525053113	 acc:0.6826347305389222
p:0.5518192516532978	 r:0.45604912458874736	 f1(macro):0.4667194898100823	 acc:0.6901197604790419
p:0.5518192516532978	 r:0.45604912458874736	 f1(macro):0.4667194898100823	 acc:0.6901197604790419
avg_prec: 0.5518192516532978 total_rec: 0.45604912458874736 total_f1: 0.4667194898100823 total_acc: 0.6901197604790419 
