************
Unfreezing dense_3
****************
p:0.10154438718983991	 r:0.11388076272824461	 f1(macro):0.10018312318595252	 acc:0.31736526946107785
p:0.10811109721918336	 r:0.11891914196878095	 f1(macro):0.10679145888176941	 acc:0.3413173652694611
p:0.10736936126817084	 r:0.13925502576076504	 f1(macro):0.1155593022076469	 acc:0.4341317365269461
p:0.10339679599327639	 r:0.14174137317821023	 f1(macro):0.11854695203687791	 acc:0.5179640718562875
p:0.15739555176174894	 r:0.13486901940850046	 f1(macro):0.12161718465285452	 acc:0.5643712574850299
************
Unfreezing leaky_re_lu_5
****************
p:0.1222286956677024	 r:0.14616478238278097	 f1(macro):0.13072843633670111	 acc:0.5254491017964071
************
Unfreezing concatenate_1
****************
p:0.26000330687830686	 r:0.15758517349645607	 f1(macro):0.15619346951429502	 acc:0.5793413173652695
p:0.2579786222374377	 r:0.15940666712122836	 f1(macro):0.1582083995364471	 acc:0.5808383233532934
p:0.2571131016509167	 r:0.16394148628231742	 f1(macro):0.164457548166747	 acc:0.5883233532934131
p:0.23691021241606972	 r:0.18279605576369495	 f1(macro):0.18335245767429675	 acc:0.5838323353293413
p:0.21713162393162394	 r:0.19919599212505854	 f1(macro):0.18699824458219771	 acc:0.5823353293413174
p:0.23112535612535615	 r:0.22013018133311466	 f1(macro):0.19837208756920102	 acc:0.5883233532934131
p:0.25421729177672125	 r:0.218605776240725	 f1(macro):0.19868134342982324	 acc:0.5883233532934131
p:0.2585961921000284	 r:0.22013018133311466	 f1(macro):0.19989816658321782	 acc:0.5883233532934131
p:0.22476759778262304	 r:0.22623475701776619	 f1(macro):0.20299196553702398	 acc:0.5838323353293413
p:0.3056143549564603	 r:0.23602587448286094	 f1(macro):0.21736007845247465	 acc:0.5853293413173652
p:0.31625868414160313	 r:0.2393521504473302	 f1(macro):0.21926322141366078	 acc:0.5898203592814372
p:0.31384747652249495	 r:0.23694286875848902	 f1(macro):0.22680162695973488	 acc:0.5808383233532934
p:0.28700625675106645	 r:0.24715985464972132	 f1(macro):0.2331382822639535	 acc:0.5883233532934131
p:0.28316414509347976	 r:0.2570102962880762	 f1(macro):0.2408266381154783	 acc:0.5883233532934131
p:0.28665937799770863	 r:0.2623065790875583	 f1(macro):0.2480679033763907	 acc:0.5853293413173652
p:0.31593698034703394	 r:0.2586444248359245	 f1(macro):0.2495475759279062	 acc:0.5958083832335329
p:0.29748113462589487	 r:0.2656002816222476	 f1(macro):0.2504272298657508	 acc:0.592814371257485
p:0.3255777234038104	 r:0.2646768983459231	 f1(macro):0.2521478263084495	 acc:0.6017964071856288
p:0.2977360681114551	 r:0.2766581338284293	 f1(macro):0.26557038045511094	 acc:0.5958083832335329
p:0.30777748350847767	 r:0.27870472437472427	 f1(macro):0.2672540248155647	 acc:0.5988023952095808
p:0.3238440945998653	 r:0.27475825959210065	 f1(macro):0.2673189249402222	 acc:0.5988023952095808
p:0.31866675492855523	 r:0.2990315027660188	 f1(macro):0.27519247138511244	 acc:0.6002994011976048
p:0.31308682602952503	 r:0.3060639432636241	 f1(macro):0.2754754717627015	 acc:0.6077844311377245
p:0.3642214051798318	 r:0.30174458829590056	 f1(macro):0.2782317845032285	 acc:0.6017964071856288
p:0.36232618179754206	 r:0.2969999474181425	 f1(macro):0.2868564640342445	 acc:0.594311377245509
p:0.3933650554317265	 r:0.2996865222109792	 f1(macro):0.2883427311032993	 acc:0.5988023952095808
p:0.36677674116618014	 r:0.30539572275951155	 f1(macro):0.29593713211555145	 acc:0.6017964071856288
p:0.3916102845522998	 r:0.3192778487172697	 f1(macro):0.30392169452514284	 acc:0.6032934131736527
p:0.36801159762985275	 r:0.3313423399866635	 f1(macro):0.306834064296321	 acc:0.6047904191616766
p:0.3804373180671712	 r:0.3343389539889701	 f1(macro):0.31055998138687785	 acc:0.6107784431137725
p:0.3995784695201038	 r:0.3180184635372153	 f1(macro):0.31306442401713935	 acc:0.6122754491017964
p:0.3884088974216253	 r:0.3271703528678337	 f1(macro):0.3170959425564688	 acc:0.6137724550898204
************
Unfreezing leaky_re_lu_1
****************
p:0.3906803339551878	 r:0.31346340608192447	 f1(macro):0.3230947152221858	 acc:0.6227544910179641
p:0.4206571009167217	 r:0.32412898535674867	 f1(macro):0.33723652317492975	 acc:0.6272455089820359
p:0.4381073610707012	 r:0.3268751000670139	 f1(macro):0.34206340423422454	 acc:0.6362275449101796
p:0.4414654335607097	 r:0.3229225784177319	 f1(macro):0.34771726943297276	 acc:0.6362275449101796
p:0.448666892235486	 r:0.3266094032730842	 f1(macro):0.35289697941390374	 acc:0.6437125748502994
p:0.42520685900444616	 r:0.34692569954691604	 f1(macro):0.3603963199871128	 acc:0.6437125748502994
p:0.43117018931813916	 r:0.3458473692343058	 f1(macro):0.3639796654835927	 acc:0.6362275449101796
p:0.4424349689071276	 r:0.36215693486736183	 f1(macro):0.3809888355418511	 acc:0.6541916167664671
p:0.45788697559401204	 r:0.3604729623033908	 f1(macro):0.38916096965931	 acc:0.6676646706586826
p:0.4621515332536838	 r:0.3767357383616335	 f1(macro):0.4007089757913603	 acc:0.6736526946107785
p:0.4708937787661577	 r:0.3901331551293751	 f1(macro):0.40161520242409304	 acc:0.6796407185628742
p:0.5145257690547955	 r:0.3773827384428732	 f1(macro):0.40698302360706456	 acc:0.6541916167664671
p:0.5019200957899979	 r:0.38427390412023965	 f1(macro):0.4154212327752095	 acc:0.6676646706586826
p:0.49190102204414987	 r:0.3882727377610306	 f1(macro):0.415452333246172	 acc:0.6706586826347305
p:0.49146406318895397	 r:0.3974879467150148	 f1(macro):0.4164310234987161	 acc:0.6601796407185628
p:0.5110603821130136	 r:0.3991880715117285	 f1(macro):0.4255460345111561	 acc:0.6631736526946108
p:0.4960357275574667	 r:0.3909479016486449	 f1(macro):0.4256388118180347	 acc:0.6631736526946108
p:0.4971215083533924	 r:0.40358192388892894	 f1(macro):0.42824554647243374	 acc:0.6706586826347305
************
Unfreezing dense_3
****************
p:0.5325202066828298	 r:0.41707006348271153	 f1(macro):0.44812246473067346	 acc:0.6646706586826348
p:0.5189235017605731	 r:0.44272390120299404	 f1(macro):0.4584248545609614	 acc:0.6751497005988024
p:0.5051163670526232	 r:0.467997195958213	 f1(macro):0.4743806707916072	 acc:0.6841317365269461
p:0.5051163670526232	 r:0.467997195958213	 f1(macro):0.4743806707916072	 acc:0.6841317365269461
avg_prec: 0.5051163670526232 total_rec: 0.467997195958213 total_f1: 0.4743806707916072 total_acc: 0.6841317365269461 
