************
Unfreezing dense_6
****************
p:0.08381823534120901	 r:0.10246057684387856	 f1(macro):0.08411853043882699	 acc:0.3398203592814371
p:0.09394195718284896	 r:0.10822453964893385	 f1(macro):0.08661883743749776	 acc:0.5254491017964071
p:0.21181459364739108	 r:0.11488432996787425	 f1(macro):0.0962665818599454	 acc:0.531437125748503
p:0.14947825924052532	 r:0.1238615664845173	 f1(macro):0.1026782833171991	 acc:0.5703592814371258
************
Unfreezing leaky_re_lu_6
****************
p:0.17407407407407408	 r:0.12568306010928962	 f1(macro):0.10614314592112926	 acc:0.5718562874251497
p:0.1744579945799458	 r:0.13296903460837886	 f1(macro):0.11722007950229789	 acc:0.5778443113772455
p:0.17455470737913487	 r:0.13479052823315119	 f1(macro):0.11980785450173206	 acc:0.5793413173652695
p:0.16823790448078874	 r:0.1399579205750855	 f1(macro):0.12645125425613232	 acc:0.5823353293413174
p:0.16327413294407048	 r:0.14177941419985776	 f1(macro):0.12824752905398068	 acc:0.5838323353293413
p:0.14249853944775076	 r:0.1448282243846371	 f1(macro):0.1292058516196447	 acc:0.5838323353293413
p:0.14678710605214332	 r:0.14694680654179207	 f1(macro):0.1319500422948699	 acc:0.5868263473053892
p:0.14497029002452347	 r:0.14847121163418173	 f1(macro):0.1332382728236628	 acc:0.5868263473053892
p:0.15724851216270874	 r:0.1472438950741747	 f1(macro):0.1339515116391384	 acc:0.5883233532934131
p:0.18743221552210318	 r:0.15352994581870982	 f1(macro):0.13930182031721675	 acc:0.5868263473053892
p:0.25096296296296294	 r:0.15765845197561354	 f1(macro):0.14865090057647057	 acc:0.5898203592814372
p:0.27606263132578923	 r:0.1630784913276683	 f1(macro):0.1587952926024376	 acc:0.5913173652694611
p:0.2758387735879697	 r:0.16275521836620208	 f1(macro):0.16006615678346636	 acc:0.5883233532934131
p:0.24687437286775035	 r:0.17126850942529834	 f1(macro):0.1644020316040016	 acc:0.592814371257485
p:0.2641687814101607	 r:0.1972000224312072	 f1(macro):0.18750271111902894	 acc:0.594311377245509
p:0.3381825484135715	 r:0.21658972804357746	 f1(macro):0.20726686788910648	 acc:0.592814371257485
p:0.34211640211640204	 r:0.24387418463131272	 f1(macro):0.22645559556554418	 acc:0.5973053892215568
