************
Unfreezing dense_15
****************
p:0.12405357173796282	 r:0.1388602693079005	 f1(macro):0.11862187177534562	 acc:0.5523952095808383
p:0.12145603011744743	 r:0.1399968830055619	 f1(macro):0.12101722792737697	 acc:0.5748502994011976
p:0.147119341563786	 r:0.1378393384179305	 f1(macro):0.12203941275478566	 acc:0.5793413173652695
p:0.15618233618233618	 r:0.1378393384179305	 f1(macro):0.12292325949367089	 acc:0.5793413173652695
p:0.14120510804029507	 r:0.1393637435103202	 f1(macro):0.12323524982995052	 acc:0.5793413173652695
p:0.1248230334844508	 r:0.1418183766303342	 f1(macro):0.12338129412123042	 acc:0.5763473053892215
p:0.14836894744159043	 r:0.1393637435103202	 f1(macro):0.12410915490153925	 acc:0.5793413173652695
p:0.14254083275822407	 r:0.14088814860270985	 f1(macro):0.1252128356254093	 acc:0.5793413173652695
************
Unfreezing leaky_re_lu_25
****************
p:0.2515480003284881	 r:0.14593953905228205	 f1(macro):0.1301029852612109	 acc:0.5688622754491018
p:0.17138814858684567	 r:0.14965254833671793	 f1(macro):0.1343121100402654	 acc:0.5778443113772455
p:0.19550499616273107	 r:0.14995602586979698	 f1(macro):0.13495698325883476	 acc:0.5748502994011976
p:0.22681009429809654	 r:0.15191325470341704	 f1(macro):0.1401697316910562	 acc:0.5763473053892215
************
Unfreezing concatenate_5
****************
p:0.214743072370191	 r:0.1567963365143615	 f1(macro):0.14464406190620713	 acc:0.5688622754491018
p:0.21225944081336237	 r:0.15799315978435013	 f1(macro):0.14711529254631195	 acc:0.5538922155688623
p:0.4125037502643629	 r:0.229224359419155	 f1(macro):0.240462501192843	 acc:0.5748502994011976
p:0.5436236253846317	 r:0.24629186045157805	 f1(macro):0.26147873514844083	 acc:0.592814371257485
p:0.6349396769799571	 r:0.27374358632638846	 f1(macro):0.29282795949462614	 acc:0.594311377245509
p:0.5300162321186606	 r:0.2868340201590327	 f1(macro):0.29660902247325205	 acc:0.592814371257485
p:0.4816176773662998	 r:0.2878668436513283	 f1(macro):0.29673952860177466	 acc:0.592814371257485
p:0.5117888359735916	 r:0.30912429133142205	 f1(macro):0.3234773059888727	 acc:0.592814371257485
p:0.4480933495936521	 r:0.3274198250883329	 f1(macro):0.3482811436382753	 acc:0.6032934131736527
p:0.4418031369944533	 r:0.3646160359548442	 f1(macro):0.36522613784659685	 acc:0.6077844311377245
p:0.4529450962777886	 r:0.3929545088953528	 f1(macro):0.38769292273824846	 acc:0.6182634730538922
p:0.44357742444291404	 r:0.40554330755480983	 f1(macro):0.39009704495865405	 acc:0.6167664670658682
p:0.5872894346295001	 r:0.4172682814787924	 f1(macro):0.42075484074576647	 acc:0.6287425149700598
p:0.526029248968981	 r:0.4443245501295434	 f1(macro):0.4406003333402823	 acc:0.625748502994012
p:0.535301749752899	 r:0.4526256573421462	 f1(macro):0.445089251718332	 acc:0.6302395209580839
p:0.5489863496646977	 r:0.46556364877608697	 f1(macro):0.4648783664566812	 acc:0.6347305389221557
p:0.5269961739415037	 r:0.49327446661157215	 f1(macro):0.4765124750403788	 acc:0.624251497005988
p:0.5412118555876234	 r:0.5279082331682539	 f1(macro):0.5023341660072513	 acc:0.6347305389221557
p:0.54232723778066	 r:0.5324698634278497	 f1(macro):0.5060077506426326	 acc:0.6302395209580839
p:0.5496831395677442	 r:0.5393745633832527	 f1(macro):0.5139940618342022	 acc:0.6332335329341318
p:0.5555597156507132	 r:0.5321739710728177	 f1(macro):0.5141395298534844	 acc:0.6317365269461078
p:0.5866702470339449	 r:0.5372235386756161	 f1(macro):0.5184961682465848	 acc:0.6317365269461078
p:0.5953538665165811	 r:0.5345295355305304	 f1(macro):0.5259668654778733	 acc:0.6317365269461078
p:0.5794516374439671	 r:0.5571861853354099	 f1(macro):0.5299582442360928	 acc:0.6272455089820359
p:0.546024557767625	 r:0.5813324845353135	 f1(macro):0.5391525766353369	 acc:0.625748502994012
p:0.5620224617284585	 r:0.6042003706757179	 f1(macro):0.5595517546271548	 acc:0.6377245508982036
p:0.5930040830896487	 r:0.608632527041395	 f1(macro):0.575331751749543	 acc:0.6467065868263473
p:0.6008812176214319	 r:0.6338564273164619	 f1(macro):0.5814887115335601	 acc:0.6467065868263473
p:0.6101164701825694	 r:0.611970738429087	 f1(macro):0.5876885529674404	 acc:0.6526946107784432
p:0.6053116194513599	 r:0.6489206105306572	 f1(macro):0.599493874062198	 acc:0.6497005988023952
p:0.625015337538748	 r:0.6420142604041749	 f1(macro):0.6020281676458086	 acc:0.6661676646706587
