************
Unfreezing dense_51
****************
p:0.16165533262144288	 r:0.12538597157690695	 f1(macro):0.10563776333379431	 acc:0.5703592814371258
p:0.17426545086119555	 r:0.12932604735883424	 f1(macro):0.11183292693282867	 acc:0.5748502994011976
p:0.1743615761880602	 r:0.13114754098360656	 f1(macro):0.1145627522122834	 acc:0.5763473053892215
************
Unfreezing leaky_re_lu_85
****************
p:0.16654531333430414	 r:0.13449343970076855	 f1(macro):0.11914973339097851	 acc:0.5778443113772455
p:0.16717145936135214	 r:0.13631493332554084	 f1(macro):0.1216453987939664	 acc:0.5793413173652695
p:0.1746517159361196	 r:0.1366120218579235	 f1(macro):0.12232886583081136	 acc:0.5808383233532934
p:0.16773176550783914	 r:0.13813642695031317	 f1(macro):0.1240784340199545	 acc:0.5808383233532934
p:0.1747490216096648	 r:0.1384335154826958	 f1(macro):0.12478575536536894	 acc:0.5823353293413174
************
Unfreezing concatenate_17
****************
p:0.2789405188598737	 r:0.15048210596265885	 f1(macro):0.1463794741843522	 acc:0.5823353293413174
p:0.378699410384109	 r:0.18722205446731321	 f1(macro):0.20093824344186983	 acc:0.5838323353293413
p:0.3235412706641323	 r:0.20574057298583176	 f1(macro):0.2012566952524385	 acc:0.5853293413173652
p:0.3174961419753087	 r:0.22396200297196764	 f1(macro):0.20498173253772087	 acc:0.5853293413173652
p:0.42389937106918235	 r:0.22967092044559095	 f1(macro):0.21277602281487482	 acc:0.5868263473053892
p:0.429317515930092	 r:0.22996800897797362	 f1(macro):0.21337567424523946	 acc:0.5883233532934131
p:0.5373468296706992	 r:0.2326871572005903	 f1(macro):0.21484657876323618	 acc:0.5898203592814372
p:0.5258126679851919	 r:0.26072441394244367	 f1(macro):0.2445405653947429	 acc:0.594311377245509
p:0.491290951392819	 r:0.2646118377912947	 f1(macro):0.2504131271400647	 acc:0.594311377245509
p:0.5316228741997565	 r:0.272660297993777	 f1(macro):0.2617372090405242	 acc:0.6002994011976048
p:0.4492351948831062	 r:0.28385388540880646	 f1(macro):0.2755786373963079	 acc:0.6032934131736527
p:0.4809018615497729	 r:0.2914833219364511	 f1(macro):0.2856505619778582	 acc:0.6092814371257484
p:0.4526946560791839	 r:0.2990137330348468	 f1(macro):0.2916558401959559	 acc:0.6122754491017964
p:0.44085116172072697	 r:0.3099661708110831	 f1(macro):0.30029240793119666	 acc:0.6167664670658682
p:0.42926374942982304	 r:0.3166649235604999	 f1(macro):0.30850758835119635	 acc:0.6152694610778443
p:0.42541564401990783	 r:0.3188798227454227	 f1(macro):0.3100235748491214	 acc:0.6152694610778443
p:0.5139033318857881	 r:0.32856555676898896	 f1(macro):0.3190115905432606	 acc:0.6197604790419161
p:0.4480851805622973	 r:0.32171234450646624	 f1(macro):0.3196847842818524	 acc:0.6197604790419161
p:0.4749758901660042	 r:0.333256497678572	 f1(macro):0.3405088006909781	 acc:0.6287425149700598
p:0.4951052518160269	 r:0.3458451381517632	 f1(macro):0.34499976749625616	 acc:0.6272455089820359
p:0.49939552500915124	 r:0.3516767728264065	 f1(macro):0.3493022444889681	 acc:0.6332335329341318
p:0.5309298490293464	 r:0.3474657497081277	 f1(macro):0.34938758758794886	 acc:0.6347305389221557
p:0.5403514848995399	 r:0.36929759351402824	 f1(macro):0.3575497007414554	 acc:0.6407185628742516
p:0.542172108352928	 r:0.3743929942451026	 f1(macro):0.36150537274650746	 acc:0.6437125748502994
p:0.5049716162199324	 r:0.3607980410166609	 f1(macro):0.3644888958049783	 acc:0.6422155688622755
p:0.5338604669014515	 r:0.3488250650040978	 f1(macro):0.3731787192104135	 acc:0.6437125748502994
p:0.5253832403832404	 r:0.35813887397264765	 f1(macro):0.37878952115521186	 acc:0.6467065868263473
p:0.534112085833472	 r:0.36021803794872265	 f1(macro):0.38216589566081566	 acc:0.6467065868263473
p:0.5272150781626812	 r:0.3532111164590826	 f1(macro):0.3871798777639128	 acc:0.6467065868263473
p:0.5209228039493186	 r:0.36841442776049627	 f1(macro):0.38980755594844196	 acc:0.6541916167664671
p:0.5396432374238561	 r:0.39807513685668927	 f1(macro):0.4102244203423656	 acc:0.6601796407185628
p:0.5285594889296714	 r:0.4041733235406444	 f1(macro):0.4137913798159578	 acc:0.6601796407185628
p:0.5534217835003719	 r:0.3962938607581146	 f1(macro):0.4175186563692725	 acc:0.657185628742515
p:0.559881194817674	 r:0.41398640143875826	 f1(macro):0.43186115830605076	 acc:0.6586826347305389
p:0.5562630159404353	 r:0.4100089504561139	 f1(macro):0.43500532745290127	 acc:0.6631736526946108
p:0.5388532100157075	 r:0.4286381899852475	 f1(macro):0.43820829619697016	 acc:0.6616766467065869
p:0.5263979560476945	 r:0.4469084809183732	 f1(macro):0.4408521773641442	 acc:0.6661676646706587
p:0.5758406555952568	 r:0.41897890617912115	 f1(macro):0.44335801599249836	 acc:0.6706586826347305
p:0.5324013759813776	 r:0.43458669322811105	 f1(macro):0.4435905572385017	 acc:0.6721556886227545
p:0.5823888893960043	 r:0.4192796865908683	 f1(macro):0.44948246555201327	 acc:0.6781437125748503
p:0.5780132493055093	 r:0.43133878058864544	 f1(macro):0.4507152922612849	 acc:0.6736526946107785
p:0.5471807971329731	 r:0.44916620708883137	 f1(macro):0.4586503358941758	 acc:0.6736526946107785
************
Unfreezing leaky_re_lu_81
****************
p:0.5245607668136747	 r:0.46253559035859415	 f1(macro):0.4591460830850809	 acc:0.6736526946107785
p:0.5374222011377001	 r:0.46286525232075676	 f1(macro):0.46141413087068134	 acc:0.6721556886227545
p:0.5768132634144396	 r:0.42934212211346934	 f1(macro):0.46404573520015535	 acc:0.6796407185628742
p:0.595025529286374	 r:0.4500652243810823	 f1(macro):0.48000143525630456	 acc:0.6976047904191617
************
Unfreezing dense_51
****************
p:0.595025529286374	 r:0.4500652243810823	 f1(macro):0.48000143525630456	 acc:0.6976047904191617
avg_prec: 0.595025529286374 total_rec: 0.4500652243810823 total_f1: 0.48000143525630456 total_acc: 0.6976047904191617 
