************
Unfreezing dense_18
****************
p:0.09198872785829308	 r:0.14759455694846244	 f1(macro):0.11296316633652356	 acc:0.5209580838323353
p:0.10031418514417408	 r:0.14011377029699112	 f1(macro):0.11548752341854063	 acc:0.5523952095808383
p:0.13808373590982287	 r:0.1393637435103202	 f1(macro):0.12281674948957971	 acc:0.5793413173652695
p:0.1365125009984823	 r:0.14059106007032718	 f1(macro):0.12413139449522831	 acc:0.5778443113772455
p:0.14603602591469123	 r:0.14118523713509246	 f1(macro):0.12588075247545316	 acc:0.5808383233532934
************
Unfreezing leaky_re_lu_26
****************
p:0.22654343706975288	 r:0.15885145248693947	 f1(macro):0.15211011211011213	 acc:0.5703592814371258
p:0.24087168458781363	 r:0.221060409360739	 f1(macro):0.20825982247652364	 acc:0.5853293413173652
p:0.2177259848476582	 r:0.2320283335398493	 f1(macro):0.2145113199646931	 acc:0.5868263473053892
p:0.3066276803118908	 r:0.253914261284022	 f1(macro):0.22243781814942334	 acc:0.5763473053892215
p:0.34166493965321565	 r:0.26604492147797576	 f1(macro):0.24100618653919512	 acc:0.5823353293413174
p:0.4455263412616703	 r:0.27874580286080086	 f1(macro):0.25451102261519337	 acc:0.5838323353293413
p:0.4867465913257992	 r:0.30980683418884936	 f1(macro):0.27507476681101745	 acc:0.5898203592814372
p:0.45389722614356365	 r:0.3159949488998759	 f1(macro):0.2797450803576363	 acc:0.5913173652694611
p:0.4575510415510416	 r:0.32439912605096244	 f1(macro):0.2936097733306722	 acc:0.5823353293413174
p:0.4913782418092763	 r:0.34004449258436187	 f1(macro):0.31203072991760183	 acc:0.5913173652694611
p:0.4832277913854446	 r:0.35442947014431836	 f1(macro):0.3238620144086033	 acc:0.6002994011976048
p:0.45782983345937545	 r:0.34434676615617377	 f1(macro):0.32640811299671957	 acc:0.592814371257485
p:0.4504486246115651	 r:0.3868573929267764	 f1(macro):0.36248276905819415	 acc:0.5973053892215568
p:0.44866497445695647	 r:0.40124130535325886	 f1(macro):0.36341914772557643	 acc:0.5988023952095808
p:0.5595538720538721	 r:0.3957407662304199	 f1(macro):0.3834629576965344	 acc:0.6032934131736527
p:0.5283848474910946	 r:0.4042165883688996	 f1(macro):0.3930775090051602	 acc:0.5898203592814372
p:0.4953396965783852	 r:0.43254355122127547	 f1(macro):0.40076306173771536	 acc:0.6002994011976048
p:0.5293229396879328	 r:0.417552972794199	 f1(macro):0.4109942963230842	 acc:0.6032934131736527
p:0.5083399468406403	 r:0.4505018635368992	 f1(macro):0.42592943080455725	 acc:0.5958083832335329
p:0.4771429187227554	 r:0.4561716976406233	 f1(macro):0.42737390577666695	 acc:0.6107784431137725
p:0.5181965542539871	 r:0.4591214720239287	 f1(macro):0.42812766977564576	 acc:0.5988023952095808
p:0.5187842347937939	 r:0.46642784112322416	 f1(macro):0.43681599613650135	 acc:0.6002994011976048
p:0.5491660125813455	 r:0.4943344174181784	 f1(macro):0.4693319311650916	 acc:0.6107784431137725
p:0.5536969911104737	 r:0.5037764659125863	 f1(macro):0.48391465645898646	 acc:0.6227544910179641
p:0.5666799681742146	 r:0.513282300805685	 f1(macro):0.49813756416932414	 acc:0.624251497005988
p:0.5811052896854911	 r:0.5160327659257042	 f1(macro):0.5040552537969121	 acc:0.6332335329341318
p:0.5418297329719375	 r:0.5376405823419147	 f1(macro):0.5046084988974096	 acc:0.6062874251497006
p:0.5528213451906852	 r:0.5515166514330145	 f1(macro):0.5107533008688785	 acc:0.6077844311377245
p:0.5697568918891235	 r:0.5565275656267452	 f1(macro):0.5209705327347096	 acc:0.6212574850299402
p:0.5631591130099955	 r:0.5621153473030313	 f1(macro):0.526016375583609	 acc:0.6197604790419161
p:0.5972526259172297	 r:0.5749828250415032	 f1(macro):0.5446532000988593	 acc:0.6182634730538922
p:0.5905958989292323	 r:0.5822438961537297	 f1(macro):0.548336110612015	 acc:0.6332335329341318
p:0.5864139093173167	 r:0.5855193775052148	 f1(macro):0.5542840390477589	 acc:0.6287425149700598
p:0.6022336007181992	 r:0.6033040315330669	 f1(macro):0.5743752276173731	 acc:0.6317365269461078
p:0.6070795092130361	 r:0.5993575667504433	 f1(macro):0.5759270019311253	 acc:0.6317365269461078
p:0.6048231789531332	 r:0.6111067123942759	 f1(macro):0.5829665044758855	 acc:0.6302395209580839
p:0.6265753365290402	 r:0.6304228303179022	 f1(macro):0.6111920192883491	 acc:0.6362275449101796
p:0.6254930495357083	 r:0.6448350748915476	 f1(macro):0.614657745453615	 acc:0.6407185628742516
p:0.6184977905408013	 r:0.6578774487269593	 f1(macro):0.620621782548745	 acc:0.6482035928143712
p:0.6241758577047705	 r:0.6767214369841523	 f1(macro):0.6279748319822607	 acc:0.6482035928143712
p:0.6301463299455267	 r:0.6819985527815453	 f1(macro):0.6344116976717423	 acc:0.6586826347305389
p:0.6506874140423795	 r:0.6918757882318544	 f1(macro):0.6491278173414142	 acc:0.657185628742515
p:0.6240882311196309	 r:0.7229102998794386	 f1(macro):0.6506869694566633	 acc:0.6437125748502994
p:0.6272518270106464	 r:0.7239762631159107	 f1(macro):0.6533913897594956	 acc:0.6407185628742516
p:0.6249606916453092	 r:0.7268371246228168	 f1(macro):0.654180136599264	 acc:0.657185628742515
p:0.6302480966104027	 r:0.732778456806419	 f1(macro):0.6599379467229469	 acc:0.6661676646706587
************
Unfreezing concatenate_6
****************
p:0.6335392063703424	 r:0.73532969002911	 f1(macro):0.6613979279592478	 acc:0.6616766467065869
p:0.6410621277967643	 r:0.7395875596807177	 f1(macro):0.6630750744946087	 acc:0.6586826347305389
p:0.6363764357959336	 r:0.7349032552885758	 f1(macro):0.6665101032424271	 acc:0.655688622754491
************
Unfreezing leaky_re_lu_30
****************
************
Unfreezing dense_18
****************
p:0.6818965340378766	 r:0.7389273258474817	 f1(macro):0.6864825581228948	 acc:0.6766467065868264
p:0.6860195298706083	 r:0.74011647932213	 f1(macro):0.6890692210287542	 acc:0.6781437125748503
p:0.6874900452581619	 r:0.7577613912463013	 f1(macro):0.7040657841928443	 acc:0.6781437125748503
p:0.7252119077393974	 r:0.7422239078670503	 f1(macro):0.7045692307267238	 acc:0.6631736526946108
p:0.7252119077393974	 r:0.7422239078670503	 f1(macro):0.7045692307267238	 acc:0.6631736526946108
avg_prec: 0.7252119077393974 total_rec: 0.7422239078670503 total_f1: 0.7045692307267238 total_acc: 0.6631736526946108 
