************
Unfreezing dense_54
****************
p:0.16182393825287097	 r:0.12568306010928962	 f1(macro):0.10585288649180227	 acc:0.5718562874251497
p:0.17407407407407408	 r:0.12568306010928962	 f1(macro):0.10614314592112926	 acc:0.5718562874251497
p:0.17426545086119555	 r:0.12932604735883424	 f1(macro):0.11183292693282867	 acc:0.5748502994011976
p:0.1743615761880602	 r:0.13114754098360656	 f1(macro):0.1145627522122834	 acc:0.5763473053892215
************
Unfreezing leaky_re_lu_86
****************
p:0.1744579945799458	 r:0.13296903460837886	 f1(macro):0.11722007950229789	 acc:0.5778443113772455
p:0.16717145936135214	 r:0.13631493332554084	 f1(macro):0.1216453987939664	 acc:0.5793413173652695
p:0.16170195676837043	 r:0.13813642695031317	 f1(macro):0.12360225140712945	 acc:0.5808383233532934
p:0.1625261158594492	 r:0.1399579205750855	 f1(macro):0.12595321290436004	 acc:0.5823353293413174
p:0.16840858207082116	 r:0.14025500910746813	 f1(macro):0.126668056424154	 acc:0.5838323353293413
p:0.3800175348210815	 r:0.17111920663833236	 f1(macro):0.1798143743295555	 acc:0.5868263473053892
p:0.37573872472783826	 r:0.1749506242628534	 f1(macro):0.18278604621474753	 acc:0.5883233532934131
p:0.4248339371980676	 r:0.19529063640614425	 f1(macro):0.2118834019578436	 acc:0.5913173652694611
p:0.4855044699872286	 r:0.21500389805488973	 f1(macro):0.22090162915573197	 acc:0.594311377245509
p:0.5223673516776964	 r:0.21853822714702817	 f1(macro):0.22762648642406752	 acc:0.594311377245509
p:0.5378792064482014	 r:0.28090808741983575	 f1(macro):0.24383530835515377	 acc:0.6002994011976048
p:0.3732059861689491	 r:0.26897680129500123	 f1(macro):0.2487678070138472	 acc:0.6047904191616766
p:0.41011015167320675	 r:0.2919007927664574	 f1(macro):0.2560141529912499	 acc:0.6092814371257484
p:0.4270604594121355	 r:0.273989728297753	 f1(macro):0.25688029359781084	 acc:0.6062874251497006
p:0.4161584768405003	 r:0.28051378340784566	 f1(macro):0.26464612532488263	 acc:0.6122754491017964
p:0.46995300911482585	 r:0.28848524594483854	 f1(macro):0.2764599665240006	 acc:0.6077844311377245
p:0.4081502128308134	 r:0.3179974087179408	 f1(macro):0.28920501201616555	 acc:0.6077844311377245
p:0.45472061429508237	 r:0.31428646836036744	 f1(macro):0.3002728365934747	 acc:0.6152694610778443
p:0.48061595967714116	 r:0.28243751171600984	 f1(macro):0.3011121101930432	 acc:0.6167664670658682
p:0.43944804221382744	 r:0.2931593129593325	 f1(macro):0.30368258500131706	 acc:0.625748502994012
p:0.4522518746589954	 r:0.27563472283337365	 f1(macro):0.30520265249535	 acc:0.6272455089820359
p:0.4555054604021858	 r:0.29608675431605325	 f1(macro):0.3161712276193654	 acc:0.6272455089820359
p:0.5114046167585187	 r:0.29860560407121134	 f1(macro):0.3262164978020523	 acc:0.624251497005988
p:0.4740543002687748	 r:0.3222777649094592	 f1(macro):0.3366990357549368	 acc:0.6332335329341318
p:0.4663344044418214	 r:0.32317042793869766	 f1(macro):0.34635097332280523	 acc:0.6377245508982036
p:0.4887367538150927	 r:0.33522386495015566	 f1(macro):0.34965934563402723	 acc:0.6377245508982036
p:0.4707014648945267	 r:0.3569860130291263	 f1(macro):0.35596998478036845	 acc:0.6332335329341318
p:0.4749727381153854	 r:0.34573800670451116	 f1(macro):0.357518081245354	 acc:0.6422155688622755
p:0.47544732134005724	 r:0.3517672797201014	 f1(macro):0.3622448285193383	 acc:0.6377245508982036
p:0.49154624073299313	 r:0.35615973466521134	 f1(macro):0.37036169451855727	 acc:0.6452095808383234
p:0.45857099399193857	 r:0.36373595294538336	 f1(macro):0.3721238529318478	 acc:0.6467065868263473
p:0.5177116177540625	 r:0.3469632990746144	 f1(macro):0.3754649617776668	 acc:0.6511976047904192
p:0.4952956674442626	 r:0.3504228416883068	 f1(macro):0.3778937169631441	 acc:0.657185628742515
************
Unfreezing concatenate_18
****************
p:0.46225546110621113	 r:0.3940556475902264	 f1(macro):0.38669367559415657	 acc:0.6407185628742516
p:0.4489787171625789	 r:0.3800438501776025	 f1(macro):0.38713165664468163	 acc:0.6452095808383234
p:0.49426847843514504	 r:0.3905432934171306	 f1(macro):0.4004838701087373	 acc:0.6526946107784432
p:0.4350236251019771	 r:0.3994894514505098	 f1(macro):0.40106756026621726	 acc:0.6526946107784432
p:0.4545262372033577	 r:0.41646616299884215	 f1(macro):0.4211713997552148	 acc:0.6541916167664671
p:0.5061237314651847	 r:0.4165348193742193	 f1(macro):0.4309453880711408	 acc:0.6646706586826348
p:0.5115471673589972	 r:0.41997497226594016	 f1(macro):0.43322988305290094	 acc:0.6691616766467066
p:0.5110022275438504	 r:0.42525445127800376	 f1(macro):0.4395170089956142	 acc:0.6646706586826348
p:0.5064308743827307	 r:0.4208117554845381	 f1(macro):0.44292688299539645	 acc:0.6706586826347305
p:0.527634283874693	 r:0.4327975239879226	 f1(macro):0.45083987970911327	 acc:0.6691616766467066
p:0.5313365635346029	 r:0.4482832464518155	 f1(macro):0.46394737729656377	 acc:0.657185628742515
p:0.5240245766308901	 r:0.45759671182585104	 f1(macro):0.46601614519910206	 acc:0.6751497005988024
p:0.557467072671751	 r:0.4621108429361949	 f1(macro):0.4700485814093972	 acc:0.6811377245508982
************
Unfreezing leaky_re_lu_90
****************
************
Unfreezing dense_54
****************
p:0.557467072671751	 r:0.4621108429361949	 f1(macro):0.4700485814093972	 acc:0.6811377245508982
avg_prec: 0.557467072671751 total_rec: 0.4621108429361949 total_f1: 0.4700485814093972 total_acc: 0.6811377245508982 
