************
Unfreezing dense_30
****************
p:0.348018682652068	 r:0.1386981411490914	 f1(macro):0.13035588911428525	 acc:0.5763473053892215
p:0.26239632949715497	 r:0.17655210060989907	 f1(macro):0.18346244712218354	 acc:0.5988023952095808
p:0.34994022992177976	 r:0.23188458325010364	 f1(macro):0.24561246092250663	 acc:0.624251497005988
p:0.48910624693447324	 r:0.26592142933508395	 f1(macro):0.295041006499057	 acc:0.6422155688622755
p:0.5734196806915965	 r:0.3252194465054963	 f1(macro):0.36869611738315344	 acc:0.657185628742515
p:0.5962588919697439	 r:0.36638348170014845	 f1(macro):0.39843917801875467	 acc:0.6796407185628742
p:0.5395204089283037	 r:0.3888377129738224	 f1(macro):0.4252167206845387	 acc:0.6601796407185628
p:0.5864282274135524	 r:0.3931102827325539	 f1(macro):0.4494628922799314	 acc:0.6901197604790419
p:0.5527314404621088	 r:0.41950343049008876	 f1(macro):0.4596070893895625	 acc:0.6961077844311377
p:0.6047206829639309	 r:0.4293470276247207	 f1(macro):0.48839620693774705	 acc:0.7125748502994012
p:0.6047206829639309	 r:0.4293470276247207	 f1(macro):0.48839620693774705	 acc:0.7125748502994012
avg_prec: 0.6047206829639309 total_rec: 0.4293470276247207 total_f1: 0.48839620693774705 total_acc: 0.7125748502994012 
