************
Unfreezing dense_21
****************
p:0.39702105803800714	 r:0.14270111113970102	 f1(macro):0.13741666387015222	 acc:0.5793413173652695
p:0.4494347663429789	 r:0.19977396866295793	 f1(macro):0.2130901009574967	 acc:0.6077844311377245
p:0.603621069582168	 r:0.2818918779782645	 f1(macro):0.3129843550110252	 acc:0.625748502994012
p:0.42975580442756567	 r:0.3009832701338725	 f1(macro):0.3253098842703909	 acc:0.6407185628742516
p:0.49521583652618134	 r:0.3283745645301435	 f1(macro):0.3604344581374912	 acc:0.6482035928143712
p:0.48220807715138836	 r:0.38146235384451105	 f1(macro):0.413841657993162	 acc:0.6676646706586826
p:0.493381464527095	 r:0.3909780859172545	 f1(macro):0.42426971964626353	 acc:0.6706586826347305
p:0.5334775863176446	 r:0.37641398985318486	 f1(macro):0.42695126195353106	 acc:0.6901197604790419
p:0.5281193674605192	 r:0.3817067965174711	 f1(macro):0.43048035580962285	 acc:0.687125748502994
p:0.5439582897220072	 r:0.4115600660844787	 f1(macro):0.4535819242447634	 acc:0.6961077844311377
p:0.5563471633732502	 r:0.4151307354152019	 f1(macro):0.4581417980088258	 acc:0.7035928143712575
p:0.5772334980422019	 r:0.4142712068386595	 f1(macro):0.46137445628658824	 acc:0.6931137724550899
p:0.5649391910041182	 r:0.42466316593381503	 f1(macro):0.4639257940031711	 acc:0.688622754491018
p:0.5458597796152695	 r:0.44003088440357074	 f1(macro):0.4669763957097888	 acc:0.6916167664670658
p:0.5936964017001204	 r:0.4340703175599683	 f1(macro):0.4721919689310994	 acc:0.6976047904191617
p:0.5733933453377622	 r:0.42991893667171444	 f1(macro):0.47428115791585923	 acc:0.6961077844311377
p:0.5733933453377622	 r:0.42991893667171444	 f1(macro):0.47428115791585923	 acc:0.6961077844311377
avg_prec: 0.5733933453377622 total_rec: 0.42991893667171444 total_f1: 0.47428115791585923 total_acc: 0.6961077844311377 
