************
Unfreezing dense_3
****************
p:0.14431587796073775	 r:0.11682182548500863	 f1(macro):0.09634720029744182	 acc:0.5464071856287425
p:0.14663093415007655	 r:0.1269103766692966	 f1(macro):0.10789060659010372	 acc:0.5703592814371258
p:0.20608141006914013	 r:0.1314510185166856	 f1(macro):0.11528698288932208	 acc:0.5733532934131736
p:0.21287025038939278	 r:0.13174810704906825	 f1(macro):0.11586556063571386	 acc:0.5748502994011976
p:0.25277348445818304	 r:0.1372125879233852	 f1(macro):0.12173921818046114	 acc:0.5793413173652695
p:0.19515026036765168	 r:0.13843990448339222	 f1(macro):0.12326821503779567	 acc:0.5778443113772455
p:0.2507791089186438	 r:0.13873699301577486	 f1(macro):0.12343191626604272	 acc:0.5793413173652695
p:0.25428767998427443	 r:0.13873699301577486	 f1(macro):0.1238423594081581	 acc:0.5793413173652695
p:0.2489966746932691	 r:0.13872375926377856	 f1(macro):0.12461621933040795	 acc:0.5778443113772455
p:0.3619837707965003	 r:0.14080292323985358	 f1(macro):0.1305603174764639	 acc:0.5778443113772455
************
Unfreezing leaky_re_lu_5
****************
p:0.37043643182883684	 r:0.15681461828196197	 f1(macro):0.15650193026277615	 acc:0.5883233532934131
p:0.4361840615802581	 r:0.1696023497493634	 f1(macro):0.17816030578622008	 acc:0.5958083832335329
p:0.4240494113105578	 r:0.17423235330942732	 f1(macro):0.18519643084748053	 acc:0.6002994011976048
p:0.5315909359839073	 r:0.1925064352286394	 f1(macro):0.21546855848282465	 acc:0.6047904191616766
p:0.6014846881513548	 r:0.21091088274386027	 f1(macro):0.2474302870606768	 acc:0.6032934131736527
p:0.6388013486203653	 r:0.21112549754792034	 f1(macro):0.2483259137951524	 acc:0.6032934131736527
p:0.6075252564873652	 r:0.21756404405566931	 f1(macro):0.25803875115023317	 acc:0.6092814371257484
p:0.6606841455541219	 r:0.22288012228353862	 f1(macro):0.26660169898744474	 acc:0.6122754491017964
p:0.6220397819235028	 r:0.22518024683131768	 f1(macro):0.2682218985810605	 acc:0.6137724550898204
p:0.5974768613770072	 r:0.2523595934643681	 f1(macro):0.30169892092598816	 acc:0.6167664670658682
p:0.6924405749032615	 r:0.2551415926626146	 f1(macro):0.3089382665138097	 acc:0.6227544910179641
p:0.6539030731660547	 r:0.26111093212207437	 f1(macro):0.31617927664011214	 acc:0.6227544910179641
