************
Unfreezing dense_6
****************
p:0.1541978021978022	 r:0.12605761775202157	 f1(macro):0.11195031288598539	 acc:0.5479041916167665
p:0.1928272940637701	 r:0.13054651916754134	 f1(macro):0.1150335384574263	 acc:0.5673652694610778
p:0.19523993808049533	 r:0.13236801279231367	 f1(macro):0.11761832938303526	 acc:0.5688622754491018
p:0.20620246043974857	 r:0.13296218985707894	 f1(macro):0.11866422705132382	 acc:0.5718562874251497
p:0.22301771585827312	 r:0.13356275592254066	 f1(macro):0.11990928012759425	 acc:0.5703592814371258
p:0.3044536035262465	 r:0.1362755151444609	 f1(macro):0.12269113006173055	 acc:0.5763473053892215
p:0.4649474306867403	 r:0.13703800084785397	 f1(macro):0.12495358049773903	 acc:0.5763473053892215
p:0.2470714900947459	 r:0.13960818010962658	 f1(macro):0.12775043509605355	 acc:0.5763473053892215
p:0.26131687242798357	 r:0.14202385079916421	 f1(macro):0.1316643140815154	 acc:0.5808383233532934
p:0.3655969634230504	 r:0.1447429990217809	 f1(macro):0.13539716822403247	 acc:0.5823353293413174
************
Unfreezing leaky_re_lu_6
****************
p:0.33245492771153734	 r:0.14583514668733658	 f1(macro):0.13816168899748052	 acc:0.5808383233532934
p:0.32191227618513973	 r:0.14673280128518096	 f1(macro):0.1390987716693285	 acc:0.5808383233532934
p:0.26216957645529076	 r:0.1468547364276359	 f1(macro):0.13926084940123917	 acc:0.5793413173652695
p:0.31900447185257313	 r:0.15638179454073156	 f1(macro):0.15326778779651068	 acc:0.5868263473053892
p:0.3234107410577999	 r:0.16049017896128662	 f1(macro):0.16008368697245287	 acc:0.5883233532934131
p:0.3190479934995151	 r:0.1624336077285139	 f1(macro):0.16227967495123277	 acc:0.5883233532934131
p:0.34350006718427767	 r:0.16692844239412657	 f1(macro):0.16988816392704875	 acc:0.592814371257485
p:0.34979168264192423	 r:0.17285832043945393	 f1(macro):0.17725038846718671	 acc:0.5958083832335329
p:0.35018533894436044	 r:0.17695986010870907	 f1(macro):0.18259580641895123	 acc:0.5913173652694611
p:0.3540492563293866	 r:0.18208144526886702	 f1(macro):0.18863248058576806	 acc:0.5958083832335329
p:0.3935711989713918	 r:0.19102812638359012	 f1(macro):0.20428201027229642	 acc:0.6017964071856288
p:0.49069032485017083	 r:0.20737705846145443	 f1(macro):0.2342586393924591	 acc:0.6077844311377245
p:0.5135554026678898	 r:0.2251468913429727	 f1(macro):0.2589482225935656	 acc:0.6107784431137725
p:0.5229798764281522	 r:0.22955236429591036	 f1(macro):0.26508953202463115	 acc:0.6137724550898204
p:0.48784979915414695	 r:0.2542316804675789	 f1(macro):0.2806776064988782	 acc:0.6152694610778443
p:0.516394561263147	 r:0.2674875607405243	 f1(macro):0.2997133016826986	 acc:0.6212574850299402
p:0.4894920260997999	 r:0.26984447357119834	 f1(macro):0.3027124841736856	 acc:0.6272455089820359
p:0.5508000572815388	 r:0.2742567912754359	 f1(macro):0.3103241998177968	 acc:0.6362275449101796
p:0.5393336272273654	 r:0.2750888432631167	 f1(macro):0.31637117101320983	 acc:0.6317365269461078
p:0.5661311075534096	 r:0.2790317139126301	 f1(macro):0.3178439495183112	 acc:0.6302395209580839
p:0.5507235345945023	 r:0.2793418204528406	 f1(macro):0.3192457434756867	 acc:0.6272455089820359
p:0.5266553879069369	 r:0.2814984233555799	 f1(macro):0.32195885118317896	 acc:0.6392215568862275
p:0.5310591350949108	 r:0.2812344072366332	 f1(macro):0.3221873114621207	 acc:0.6392215568862275
p:0.5160426592005539	 r:0.30086046940040556	 f1(macro):0.34962343459789863	 acc:0.6377245508982036
p:0.5070938816691579	 r:0.31091885360263666	 f1(macro):0.3588195303323432	 acc:0.6437125748502994
p:0.5218965213801317	 r:0.3061143363714357	 f1(macro):0.35894956034229886	 acc:0.6541916167664671
p:0.5004933320889644	 r:0.3204979915049304	 f1(macro):0.3689576040450163	 acc:0.6616766467065869
p:0.5167379363447524	 r:0.3242568079711426	 f1(macro):0.3755968707661237	 acc:0.6691616766467066
p:0.5313921252268814	 r:0.32699607793010804	 f1(macro):0.3809181323890792	 acc:0.6721556886227545
p:0.5367948817544284	 r:0.3360794359385709	 f1(macro):0.3874923450585183	 acc:0.6616766467065869
p:0.5536901276738675	 r:0.3592163184706301	 f1(macro):0.41328758427022944	 acc:0.6766467065868264
p:0.519359954828356	 r:0.3710762040958638	 f1(macro):0.41917579911727	 acc:0.6676646706586826
p:0.5495878445587212	 r:0.37343171949444726	 f1(macro):0.42556930695823075	 acc:0.6736526946107785
p:0.5367583801499625	 r:0.38255290586453244	 f1(macro):0.43073241604124557	 acc:0.6781437125748503
************
Unfreezing concatenate_2
****************
p:0.5031299476892444	 r:0.39967243056831214	 f1(macro):0.43391927650525297	 acc:0.6781437125748503
p:0.5280119785754838	 r:0.413574179278763	 f1(macro):0.44742389923627673	 acc:0.6766467065868264
p:0.5328481104919534	 r:0.4148837758226627	 f1(macro):0.44763624458507284	 acc:0.6856287425149701
p:0.5333722220798358	 r:0.4188186988207657	 f1(macro):0.45225707208608334	 acc:0.6751497005988024
p:0.5351827038063944	 r:0.4290756864940271	 f1(macro):0.4572389002880421	 acc:0.6751497005988024
p:0.5575079316635294	 r:0.4226478378479094	 f1(macro):0.46350888347384495	 acc:0.6766467065868264
************
Unfreezing leaky_re_lu_10
****************
p:0.5601152503333148	 r:0.42163738874284	 f1(macro):0.465311543460919	 acc:0.6736526946107785
p:0.5684007489458852	 r:0.42927102895104396	 f1(macro):0.4724806142858744	 acc:0.6751497005988024
p:0.5546614089381384	 r:0.4376537605026639	 f1(macro):0.4725489857369991	 acc:0.6796407185628742
p:0.5675221674323547	 r:0.4332492004875894	 f1(macro):0.4758410456349406	 acc:0.6811377245508982
************
Unfreezing dense_6
****************
p:0.5675221674323547	 r:0.4332492004875894	 f1(macro):0.4758410456349406	 acc:0.6811377245508982
avg_prec: 0.5675221674323547 total_rec: 0.4332492004875894 total_f1: 0.4758410456349406 total_acc: 0.6811377245508982 
