************
Unfreezing dense_33
****************
p:0.15267489711934157	 r:0.13966083204270283	 f1(macro):0.12478289697975138	 acc:0.5808383233532934
p:0.24096041929535522	 r:0.18912408867080213	 f1(macro):0.18716750692557144	 acc:0.5838323353293413
p:0.3573155346872906	 r:0.2509074069399059	 f1(macro):0.20291220680345984	 acc:0.5883233532934131
p:0.2841959778363287	 r:0.269608034163445	 f1(macro):0.2205174031736878	 acc:0.5883233532934131
p:0.34777928484132464	 r:0.2755102199449786	 f1(macro):0.2441091498259456	 acc:0.6032934131736527
p:0.3092004751948385	 r:0.36000462947026013	 f1(macro):0.2950543270771133	 acc:0.6152694610778443
p:0.3591432458827457	 r:0.358302282846507	 f1(macro):0.3028508150996919	 acc:0.6212574850299402
p:0.44187873070627354	 r:0.35862130322945834	 f1(macro):0.3312940635802504	 acc:0.6377245508982036
p:0.480071377579289	 r:0.3857176816966784	 f1(macro):0.3937731242423816	 acc:0.6452095808383234
p:0.49797045812101737	 r:0.39793753092761264	 f1(macro):0.40105233098955423	 acc:0.6437125748502994
p:0.5516106221842558	 r:0.42120900180128007	 f1(macro):0.4329370023294807	 acc:0.6661676646706587
p:0.5592560685903188	 r:0.4698663621690124	 f1(macro):0.45218958523890784	 acc:0.6526946107784432
p:0.5550649554895839	 r:0.4293008334631427	 f1(macro):0.45517044198177437	 acc:0.6766467065868264
p:0.5851399859702417	 r:0.44426401998788717	 f1(macro):0.46312035098177007	 acc:0.6766467065868264
p:0.6059158780675042	 r:0.45296652364510326	 f1(macro):0.4866196170465288	 acc:0.6826347305389222
p:0.543789631998265	 r:0.48316803841083517	 f1(macro):0.4900780285251656	 acc:0.6901197604790419
p:0.5872237542209982	 r:0.48040665304186436	 f1(macro):0.49932660836558046	 acc:0.6901197604790419
p:0.6051659103571673	 r:0.4680692265885391	 f1(macro):0.5074233908997597	 acc:0.6991017964071856
p:0.5730921707762895	 r:0.49102488158086466	 f1(macro):0.5080640860561936	 acc:0.7155688622754491
p:0.5808645747861435	 r:0.48198189411128517	 f1(macro):0.513684114571587	 acc:0.7050898203592815
p:0.5808645747861435	 r:0.48198189411128517	 f1(macro):0.513684114571587	 acc:0.7050898203592815
avg_prec: 0.5808645747861435 total_rec: 0.48198189411128517 total_f1: 0.513684114571587 total_acc: 0.7050898203592815 
