************
Unfreezing dense_12
****************
p:0.1663253114866018	 r:0.13360217410362057	 f1(macro):0.11873532068654019	 acc:0.5733532934131736
p:0.15140702295028788	 r:0.1378393384179305	 f1(macro):0.12247474747474747	 acc:0.5793413173652695
p:0.16170195676837043	 r:0.13813642695031317	 f1(macro):0.12360225140712945	 acc:0.5808383233532934
p:0.16773176550783914	 r:0.13813642695031317	 f1(macro):0.1240784340199545	 acc:0.5808383233532934
************
Unfreezing dense_12
****************
p:0.25445967860828544	 r:0.15635785693644905	 f1(macro):0.1534421898840837	 acc:0.5808383233532934
p:0.24929439548413107	 r:0.1578822620288387	 f1(macro):0.15464241416002653	 acc:0.5808383233532934
p:0.37382611603713045	 r:0.15894183626461442	 f1(macro):0.15942957630029125	 acc:0.5823353293413174
p:0.19218749999999998	 r:0.1745792869225849	 f1(macro):0.1628624620077611	 acc:0.5808383233532934
p:0.31026785714285715	 r:0.1609316385280145	 f1(macro):0.16293970718943773	 acc:0.5808383233532934
p:0.2400208986415883	 r:0.17656908918598496	 f1(macro):0.1665306225634495	 acc:0.5793413173652695
************
Unfreezing dense_12
****************
p:0.20563530037214248	 r:0.19767158703266888	 f1(macro):0.1711861790940592	 acc:0.5823353293413174
p:0.2925031707138921	 r:0.24341754665138307	 f1(macro):0.19570647033072422	 acc:0.5883233532934131
p:0.45821761611235295	 r:0.2618768318521668	 f1(macro):0.2335082192477701	 acc:0.5958083832335329
p:0.4042022792022792	 r:0.26843227886529086	 f1(macro):0.2624116171663286	 acc:0.6077844311377245
p:0.40062871848586135	 r:0.31544119369948176	 f1(macro):0.27453536278731794	 acc:0.6047904191616766
p:0.3906433447869912	 r:0.3186725683398851	 f1(macro):0.2773635277623103	 acc:0.6137724550898204
p:0.436008240340458	 r:0.3337144130768284	 f1(macro):0.28321174947311833	 acc:0.6092814371257484
p:0.44507699028685543	 r:0.3480013872725358	 f1(macro):0.30725084106976414	 acc:0.625748502994012
p:0.3793867819814405	 r:0.383908035604711	 f1(macro):0.33052406344706303	 acc:0.6122754491017964
p:0.3942358318702405	 r:0.379915653076518	 f1(macro):0.3325921388406461	 acc:0.624251497005988
p:0.43118769919063865	 r:0.4075105069542611	 f1(macro):0.3608895765797501	 acc:0.6302395209580839
p:0.4563143602412334	 r:0.39631526751148993	 f1(macro):0.37275105329642244	 acc:0.6407185628742516
p:0.4102829278659233	 r:0.422295278910486	 f1(macro):0.37520813158650906	 acc:0.6362275449101796
p:0.4392937194999196	 r:0.43851436452446524	 f1(macro):0.3984719715290482	 acc:0.6467065868263473
p:0.5240192710940952	 r:0.42227632765256534	 f1(macro):0.40968986860255513	 acc:0.655688622754491
p:0.5655769405769405	 r:0.45120100422450754	 f1(macro):0.4284202015980357	 acc:0.6526946107784432
p:0.5371224456873347	 r:0.461795890052667	 f1(macro):0.44401755335467336	 acc:0.6601796407185628
p:0.5395208782511767	 r:0.46673539245430423	 f1(macro):0.4577634209035007	 acc:0.6706586826347305
p:0.5388582532616057	 r:0.4520742170121694	 f1(macro):0.4626196914193223	 acc:0.6721556886227545
p:0.5549475528350195	 r:0.478615596589269	 f1(macro):0.4786770503283528	 acc:0.6736526946107785
p:0.5667621418843363	 r:0.49198536749133026	 f1(macro):0.48490506552763396	 acc:0.6916167664670658
p:0.5791474970644741	 r:0.4712726066856388	 f1(macro):0.48537336122689495	 acc:0.6931137724550899
p:0.6011450607266359	 r:0.4623352744365993	 f1(macro):0.4962762399626798	 acc:0.688622754491018
************
Unfreezing dense_12
****************
p:0.5879496018384907	 r:0.45773739014800824	 f1(macro):0.4998863957739965	 acc:0.7065868263473054
p:0.6128957464822338	 r:0.48129050613665975	 f1(macro):0.5055074695912318	 acc:0.7050898203592815
p:0.6613790317472269	 r:0.4732755563995087	 f1(macro):0.5207144223614432	 acc:0.7020958083832335
p:0.6439950001283515	 r:0.46142464058262234	 f1(macro):0.5213805914740348	 acc:0.7005988023952096
p:0.6439950001283515	 r:0.46142464058262234	 f1(macro):0.5213805914740348	 acc:0.7005988023952096
avg_prec: 0.6439950001283515 total_rec: 0.46142464058262234 total_f1: 0.5213805914740348 total_acc: 0.7005988023952096 
