************
Unfreezing dense_9
****************
p:0.16001683501683503	 r:0.12356447795213464	 f1(macro):0.10270761889633305	 acc:0.5688622754491018
p:0.11299859401783478	 r:0.1308894148817003	 f1(macro):0.11065333134298652	 acc:0.5673652694610778
p:0.15022796954372153	 r:0.15477723570163748	 f1(macro):0.14234314691631766	 acc:0.5763473053892215
p:0.14284900284900284	 r:0.15693478028926885	 f1(macro):0.14263340963193524	 acc:0.5718562874251497
p:0.17558067174762235	 r:0.1649379996243713	 f1(macro):0.15319954872975644	 acc:0.5793413173652695
p:0.23109684230951752	 r:0.1798960536807969	 f1(macro):0.17420553412330947	 acc:0.5733532934131736
p:0.25918759075413966	 r:0.18809168594384906	 f1(macro):0.19054751952841584	 acc:0.5958083832335329
p:0.2854454669996526	 r:0.22340372488565274	 f1(macro):0.21786462954579106	 acc:0.6032934131736527
p:0.3110043567777787	 r:0.24699305973771166	 f1(macro):0.2424712289748815	 acc:0.6167664670658682
p:0.3459570327533642	 r:0.26129139040503335	 f1(macro):0.2668552225756707	 acc:0.6227544910179641
p:0.4558089142247559	 r:0.28857111853878153	 f1(macro):0.293028811105603	 acc:0.6167664670658682
p:0.4732403586758314	 r:0.3337966104529873	 f1(macro):0.3313407847293268	 acc:0.6182634730538922
p:0.46171377950281733	 r:0.34499610280683535	 f1(macro):0.35502378108763877	 acc:0.6272455089820359
p:0.5307026167702248	 r:0.36792342698886693	 f1(macro):0.3804556766326864	 acc:0.657185628742515
p:0.5048966873904177	 r:0.3897153639978109	 f1(macro):0.4037367599325959	 acc:0.657185628742515
p:0.49888281279280694	 r:0.3692761853452311	 f1(macro):0.4067061055531753	 acc:0.6676646706586826
p:0.5163901561274282	 r:0.3850072742574373	 f1(macro):0.42303282203965187	 acc:0.6691616766467066
p:0.505105925320106	 r:0.4317203753632344	 f1(macro):0.4356003963921707	 acc:0.655688622754491
p:0.5639919369546054	 r:0.424286243236539	 f1(macro):0.44532668653971247	 acc:0.6691616766467066
p:0.5641476865506903	 r:0.4085919990734296	 f1(macro):0.452333161596181	 acc:0.6961077844311377
p:0.5588135207869696	 r:0.4173251789728631	 f1(macro):0.45297606115937367	 acc:0.6736526946107785
p:0.553477479480052	 r:0.42660117332833264	 f1(macro):0.46483237430193547	 acc:0.687125748502994
p:0.6078562001196106	 r:0.4066609860852139	 f1(macro):0.4658520462615931	 acc:0.6931137724550899
p:0.5820304587919763	 r:0.4375111218717228	 f1(macro):0.48093218417649336	 acc:0.6931137724550899
p:0.555869360269972	 r:0.44836349847241824	 f1(macro):0.48706636869903136	 acc:0.7080838323353293
p:0.555869360269972	 r:0.44836349847241824	 f1(macro):0.48706636869903136	 acc:0.7080838323353293
avg_prec: 0.555869360269972 total_rec: 0.44836349847241824 total_f1: 0.48706636869903136 total_acc: 0.7080838323353293 
