************
Unfreezing dense_12
****************
p:0.09087210780574624	 r:0.11296472241505993	 f1(macro):0.08679389082139571	 acc:0.5479041916167665
p:0.07544043258328974	 r:0.11440672110986748	 f1(macro):0.08857160605322133	 acc:0.5419161676646707
************
Unfreezing dense_12
****************
p:0.18374524256877198	 r:0.1238502401965881	 f1(macro):0.10710379988601883	 acc:0.5434131736526946
p:0.11675133920857093	 r:0.1308894148817003	 f1(macro):0.11120003861994669	 acc:0.5673652694610778
p:0.15843891073248872	 r:0.13237485754361356	 f1(macro):0.1159706009511457	 acc:0.5748502994011976
p:0.1586088053977962	 r:0.13267194607599622	 f1(macro):0.11618677042801556	 acc:0.5763473053892215
p:0.1743119266055046	 r:0.13237485754361356	 f1(macro):0.11694472576088695	 acc:0.5748502994011976
************
Unfreezing dense_12
****************
p:0.16654531333430414	 r:0.13449343970076855	 f1(macro):0.11914973339097851	 acc:0.5778443113772455
p:0.17484662576687116	 r:0.14025500910746813	 f1(macro):0.12718102776582307	 acc:0.5838323353293413
p:0.2038784067085954	 r:0.15075923505875738	 f1(macro):0.14397061982227277	 acc:0.5868263473053892
p:0.18584216492857109	 r:0.15245138247537834	 f1(macro):0.1447821010445265	 acc:0.5838323353293413
p:0.17686057761433727	 r:0.15351095671115403	 f1(macro):0.14489469192695	 acc:0.5853293413173652
p:0.18012305630684	 r:0.15321386817877142	 f1(macro):0.1452698412698413	 acc:0.5838323353293413
p:0.19816994629728713	 r:0.1521542939429957	 f1(macro):0.14595379905427697	 acc:0.5823353293413174
p:0.18516332582828748	 r:0.15503536180354371	 f1(macro):0.14807922723754385	 acc:0.5853293413173652
p:0.17864538886044262	 r:0.16020275414547802	 f1(macro):0.15243925675263703	 acc:0.5883233532934131
p:0.3086306878306878	 r:0.16157269389868514	 f1(macro):0.162441233155155	 acc:0.5868263473053892
p:0.3855008077544426	 r:0.16817231065506	 f1(macro):0.17152817994355266	 acc:0.592814371257485
p:0.25867732008082883	 r:0.21389044258008846	 f1(macro):0.18724316341424282	 acc:0.592814371257485
p:0.26589891173224506	 r:0.2002998715339771	 f1(macro):0.20551211319301554	 acc:0.5958083832335329
p:0.26352045763040527	 r:0.23157477284991806	 f1(macro):0.22903201662728348	 acc:0.592814371257485
p:0.25305014068731474	 r:0.2578452293529327	 f1(macro):0.23382588354606545	 acc:0.5988023952095808
p:0.2689879545198694	 r:0.2709168156007204	 f1(macro):0.24757206347006783	 acc:0.6062874251497006
p:0.29063575856262935	 r:0.24276000767893752	 f1(macro):0.24803349507606004	 acc:0.6032934131736527
p:0.26425568400085014	 r:0.26664398164252395	 f1(macro):0.2500296289047635	 acc:0.6062874251497006
p:0.27383187300445905	 r:0.2829219828614325	 f1(macro):0.2530951921929366	 acc:0.6062874251497006
p:0.3946615378478952	 r:0.30351356632096754	 f1(macro):0.28674646389084696	 acc:0.6137724550898204
p:0.39533697039293836	 r:0.3039102991410258	 f1(macro):0.2906410028663731	 acc:0.6167664670658682
p:0.42641243794033784	 r:0.32789030689289267	 f1(macro):0.29756312054217016	 acc:0.6182634730538922
p:0.45618731738134727	 r:0.28194780943773257	 f1(macro):0.30604308256775975	 acc:0.6167664670658682
p:0.4627051990795292	 r:0.3095880647146477	 f1(macro):0.3204392105191595	 acc:0.6227544910179641
p:0.44808867014175113	 r:0.35770692880454646	 f1(macro):0.3512569324770919	 acc:0.6317365269461078
p:0.4855632413919167	 r:0.3585593914295615	 f1(macro):0.3544914070265597	 acc:0.6302395209580839
p:0.501958799754391	 r:0.3742405260610727	 f1(macro):0.3678705768710517	 acc:0.6467065868263473
p:0.5273949440896455	 r:0.37746058917074665	 f1(macro):0.38922721212622835	 acc:0.6467065868263473
p:0.47791979095660075	 r:0.4023593649701379	 f1(macro):0.4041551703534018	 acc:0.6631736526946108
p:0.5542576527500732	 r:0.4000983982814985	 f1(macro):0.4193650044595539	 acc:0.6511976047904192
