************
Unfreezing dense_3
****************
p:0.11612950058072008	 r:0.11386922176420418	 f1(macro):0.08798367243337464	 acc:0.5538922155688623
p:0.14095985298275374	 r:0.1156907153889765	 f1(macro):0.09123375022887002	 acc:0.5553892215568862
************
Unfreezing leaky_re_lu_5
****************
p:0.1550714848587189	 r:0.11903022510544209	 f1(macro):0.09625644387879723	 acc:0.561377245508982
p:0.1461720867208672	 r:0.12661328813691397	 f1(macro):0.10744041022003517	 acc:0.5688622754491018
p:0.15399043709545993	 r:0.12720746520167928	 f1(macro):0.10817437223838776	 acc:0.5718562874251497
p:0.1555498837275254	 r:0.12813769322930363	 f1(macro):0.11050198669411432	 acc:0.5688622754491018
p:0.22757073844030368	 r:0.13026266438715503	 f1(macro):0.11157810762793414	 acc:0.5673652694610778
p:0.12136464067707747	 r:0.131186503414083	 f1(macro):0.1119990030686792	 acc:0.5688622754491018
p:0.12897420040277183	 r:0.13152255437694202	 f1(macro):0.11459487802843421	 acc:0.562874251497006
p:0.13919750583443713	 r:0.13330508557123794	 f1(macro):0.116267513848159	 acc:0.5718562874251497
p:0.1413923182441701	 r:0.13572075626077554	 f1(macro):0.119078489956217	 acc:0.5763473053892215
p:0.16654531333430414	 r:0.13449343970076855	 f1(macro):0.11914973339097851	 acc:0.5778443113772455
p:0.1452166626118455	 r:0.1354236677283929	 f1(macro):0.11926251764961442	 acc:0.5748502994011976
p:0.13160202943484675	 r:0.1424460370337902	 f1(macro):0.12656481580966708	 acc:0.561377245508982
************
Unfreezing concatenate_1
****************
p:0.20899965385946695	 r:0.13860239043572	 f1(macro):0.12811278569214488	 acc:0.5793413173652695
p:0.17802909360272803	 r:0.14470001080527867	 f1(macro):0.13492063492063494	 acc:0.5793413173652695
p:0.20867834313212466	 r:0.14893774143398508	 f1(macro):0.14176722716782064	 acc:0.5853293413173652
p:0.24559102708915445	 r:0.15274162625646107	 f1(macro):0.14807484801186838	 acc:0.5793413173652695
p:0.33710458760188794	 r:0.15647454153307713	 f1(macro):0.15449442580346978	 acc:0.5838323353293413
p:0.3395279709886452	 r:0.1557120558296841	 f1(macro):0.15455830569843046	 acc:0.5838323353293413
p:0.23128636170709646	 r:0.15786321141661905	 f1(macro):0.15598075416806534	 acc:0.5838323353293413
p:0.2674108073130875	 r:0.1610019496284698	 f1(macro):0.1596278255390678	 acc:0.5853293413173652
p:0.32856112333018284	 r:0.18415047170705223	 f1(macro):0.1923538080676265	 acc:0.5913173652694611
