************
Unfreezing dense_6
****************
p:0.06958111581767495	 r:0.1102751177990576	 f1(macro):0.08477563653024396	 acc:0.4865269461077844
************
Unfreezing leaky_re_lu_6
****************
p:0.17360066833751045	 r:0.11657559198542805	 f1(macro):0.09040811143193242	 acc:0.5643712574850299
p:0.1737891737891738	 r:0.12021857923497269	 f1(macro):0.09698073632499862	 acc:0.5673652694610778
p:0.17409658899020602	 r:0.12720746520167928	 f1(macro):0.10889011935523565	 acc:0.5718562874251497
p:0.20199321458863442	 r:0.12810511979952363	 f1(macro):0.11119927597941483	 acc:0.5718562874251497
p:0.1741649625085208	 r:0.12995918685407595	 f1(macro):0.11408923543426466	 acc:0.5703592814371258
p:0.21173789173789173	 r:0.13476434380406757	 f1(macro):0.12174818485463462	 acc:0.5778443113772455
p:0.15739273346246405	 r:0.14086196417362623	 f1(macro):0.12743379275424932	 acc:0.5778443113772455
p:0.216093685391931	 r:0.14159826544793566	 f1(macro):0.13361909636644176	 acc:0.5763473053892215
p:0.2118604354432729	 r:0.1596839602252238	 f1(macro):0.1546628456572424	 acc:0.5763473053892215
p:0.3247741828288321	 r:0.16722760507561577	 f1(macro):0.16682123107747338	 acc:0.5808383233532934
p:0.29034991218420086	 r:0.16921134464628093	 f1(macro):0.170396776944396	 acc:0.5793413173652695
p:0.29278876769170725	 r:0.19350438324858635	 f1(macro):0.19488865424465715	 acc:0.5868263473053892
p:0.27942770627334385	 r:0.1968434372144484	 f1(macro):0.1974379022329154	 acc:0.5823353293413174
p:0.3050692356870596	 r:0.2115970333409673	 f1(macro):0.20563748601983237	 acc:0.5823353293413174
p:0.35189956150207824	 r:0.21352903830583989	 f1(macro):0.22399832379337217	 acc:0.5973053892215568
p:0.3361052201992201	 r:0.22731848460199297	 f1(macro):0.22816873365269874	 acc:0.5973053892215568
p:0.29728402152227795	 r:0.23711627414269318	 f1(macro):0.23885040021697657	 acc:0.5958083832335329
p:0.301843216248131	 r:0.23220095103600677	 f1(macro):0.2434510032307686	 acc:0.6017964071856288
p:0.31662675702923376	 r:0.24700606663138747	 f1(macro):0.2500248219288467	 acc:0.6032934131736527
p:0.33632693974037386	 r:0.26201788098741574	 f1(macro):0.26844703338901676	 acc:0.6032934131736527
p:0.37179765874856313	 r:0.2722298262509131	 f1(macro):0.2889812221865514	 acc:0.6212574850299402
p:0.39927604958033497	 r:0.2821681931503862	 f1(macro):0.2992131446907665	 acc:0.6077844311377245
p:0.46031561717626474	 r:0.2855857081079125	 f1(macro):0.30558296996014145	 acc:0.625748502994012
p:0.47809080367475715	 r:0.31227265239539964	 f1(macro):0.3327324015613441	 acc:0.6377245508982036
p:0.493271722024715	 r:0.3193901457447451	 f1(macro):0.34290058709786453	 acc:0.6347305389221557
p:0.4465518848310176	 r:0.34693643026937493	 f1(macro):0.3692542334907117	 acc:0.6362275449101796
p:0.44810266223309697	 r:0.3531503357707831	 f1(macro):0.374984814285544	 acc:0.6482035928143712
p:0.4520784778560766	 r:0.35410153492406166	 f1(macro):0.37546001992005285	 acc:0.6482035928143712
p:0.4509228372947774	 r:0.3567838008559635	 f1(macro):0.38119574984698207	 acc:0.6407185628742516
p:0.4333139419289729	 r:0.3656311733019501	 f1(macro):0.385430076601219	 acc:0.6452095808383234
p:0.43626521347826225	 r:0.37420816472598173	 f1(macro):0.39288557211660236	 acc:0.655688622754491
p:0.4386742594708821	 r:0.3820658193506967	 f1(macro):0.3998847073553661	 acc:0.6526946107784432
p:0.4405778636924351	 r:0.40297978771568227	 f1(macro):0.4064927334426425	 acc:0.6631736526946108
p:0.4522816910707061	 r:0.397682139256686	 f1(macro):0.4112411004849608	 acc:0.6706586826347305
p:0.4577154366735026	 r:0.387535464465909	 f1(macro):0.41150361510996375	 acc:0.6676646706586826
p:0.4753078976973608	 r:0.40674578123181093	 f1(macro):0.431763854440012	 acc:0.6691616766467066
p:0.4641098074158183	 r:0.42200366962907615	 f1(macro):0.43563825639676995	 acc:0.6646706586826348
p:0.4921745673906345	 r:0.4167596306345396	 f1(macro):0.44419762941325325	 acc:0.6721556886227545
************
Unfreezing concatenate_2
****************
p:0.47614846566253877	 r:0.436300212671821	 f1(macro):0.45036597487533925	 acc:0.6467065868263473
p:0.4674025333408918	 r:0.47437211634609494	 f1(macro):0.4623765919801433	 acc:0.6586826347305389
************
Unfreezing leaky_re_lu_10
****************
************
Unfreezing dense_6
****************
p:0.4661068944816606	 r:0.4753270305719066	 f1(macro):0.46249851720189356	 acc:0.6541916167664671
p:0.4926521300063793	 r:0.4617958399200892	 f1(macro):0.4672676814833678	 acc:0.6511976047904192
p:0.5087925602546234	 r:0.46737624049119003	 f1(macro):0.4703694275767866	 acc:0.6796407185628742
p:0.5180801312348442	 r:0.47504394511753145	 f1(macro):0.47782083894687577	 acc:0.6841317365269461
p:0.5180801312348442	 r:0.47504394511753145	 f1(macro):0.47782083894687577	 acc:0.6841317365269461
avg_prec: 0.5180801312348442 total_rec: 0.47504394511753145 total_f1: 0.47782083894687577 total_acc: 0.6841317365269461 
