************
Unfreezing dense_18
****************
p:0.06220891550232868	 r:0.1111111111111111	 f1(macro):0.0797611431008744	 acc:0.5598802395209581
p:0.17407407407407408	 r:0.12568306010928962	 f1(macro):0.10614314592112926	 acc:0.5718562874251497
p:0.17426545086119555	 r:0.12932604735883424	 f1(macro):0.11183292693282867	 acc:0.5748502994011976
p:0.16502935862691961	 r:0.1308504524512239	 f1(macro):0.11396018974154362	 acc:0.5748502994011976
p:0.1586088053977962	 r:0.13267194607599622	 f1(macro):0.11618677042801556	 acc:0.5763473053892215
p:0.16583806354798722	 r:0.13267194607599622	 f1(macro):0.11658889209909619	 acc:0.5763473053892215
p:0.1607873210633947	 r:0.13631493332554084	 f1(macro):0.12119243113395162	 acc:0.5793413173652695
p:0.16717145936135214	 r:0.13631493332554084	 f1(macro):0.1216453987939664	 acc:0.5793413173652695
************
Unfreezing leaky_re_lu_30
****************
p:0.16170195676837043	 r:0.13813642695031317	 f1(macro):0.12360225140712945	 acc:0.5808383233532934
p:0.14479156894017575	 r:0.13966083204270283	 f1(macro):0.12388377037562012	 acc:0.5808383233532934
p:0.14854068022537883	 r:0.13966083204270283	 f1(macro):0.12432680644142387	 acc:0.5808383233532934
p:0.20054583098061357	 r:0.1422448113708682	 f1(macro):0.1289812674258118	 acc:0.5823353293413174
p:0.2167612659098727	 r:0.14376978277765431	 f1(macro):0.13505523421489807	 acc:0.5823353293413174
p:0.22777348445818305	 r:0.14376978277765431	 f1(macro):0.13525930213001713	 acc:0.5823353293413174
p:0.20432085051058613	 r:0.14529418787004397	 f1(macro):0.1365937432148552	 acc:0.5823353293413174
p:0.2958734324876057	 r:0.16550542011957992	 f1(macro):0.17010825397566945	 acc:0.5808383233532934
p:0.3264583716180727	 r:0.16609959718434522	 f1(macro):0.17219759168035031	 acc:0.5838323353293413
************
Unfreezing concatenate_6
****************
p:0.31396541550263235	 r:0.19231683543988717	 f1(macro):0.1822958587901662	 acc:0.5853293413173652
p:0.2954563049671745	 r:0.20400143814061422	 f1(macro):0.1871172471197933	 acc:0.5883233532934131
p:0.4246307208212804	 r:0.2189380725440729	 f1(macro):0.21551888182258552	 acc:0.6002994011976048
p:0.41410248137249844	 r:0.24584110222793282	 f1(macro):0.23005080705514835	 acc:0.6017964071856288
p:0.4383564571487529	 r:0.28037779564478144	 f1(macro):0.2675136111179145	 acc:0.6137724550898204
p:0.43823607394342295	 r:0.2944918691014388	 f1(macro):0.28340158368708196	 acc:0.6227544910179641
p:0.4336924933416161	 r:0.312463949710879	 f1(macro):0.2906599675965724	 acc:0.6152694610778443
p:0.46048640588870476	 r:0.30350389141953893	 f1(macro):0.3184199853233044	 acc:0.6347305389221557
p:0.4757127389967111	 r:0.3250075698020893	 f1(macro):0.32546462553072214	 acc:0.6362275449101796
p:0.46192512027478977	 r:0.3287198402610126	 f1(macro):0.3282606152922234	 acc:0.6332335329341318
p:0.5794905744358563	 r:0.3620823445098016	 f1(macro):0.35362991532198595	 acc:0.6467065868263473
p:0.4858523153259995	 r:0.3785724977992222	 f1(macro):0.36442771479486386	 acc:0.6482035928143712
p:0.5653584480284993	 r:0.3960952547027772	 f1(macro):0.4056967141535596	 acc:0.6541916167664671
p:0.5247194593335848	 r:0.3852434245436321	 f1(macro):0.4067165941015742	 acc:0.657185628742515
p:0.5487965075345265	 r:0.4062433269256447	 f1(macro):0.4175581979861281	 acc:0.657185628742515
p:0.5083186617744909	 r:0.4087988818906543	 f1(macro):0.422074855990199	 acc:0.6616766467065869
p:0.5028105758455104	 r:0.41999492498392443	 f1(macro):0.42389979023889707	 acc:0.6661676646706587
p:0.5129109586287071	 r:0.4061234607100523	 f1(macro):0.4289710684564272	 acc:0.6751497005988024
p:0.5013425778204789	 r:0.4455032220915075	 f1(macro):0.43372812240600056	 acc:0.6676646706586826
p:0.5198273914561662	 r:0.41092894396800533	 f1(macro):0.43910736758362984	 acc:0.6781437125748503
p:0.48837188283061184	 r:0.438811049201703	 f1(macro):0.44152402079108233	 acc:0.6721556886227545
p:0.5013069240426851	 r:0.44634397890391103	 f1(macro):0.4551617713301686	 acc:0.6796407185628742
p:0.5525194553912098	 r:0.4377505893192831	 f1(macro):0.45633437861828313	 acc:0.6841317365269461
p:0.5039890769255844	 r:0.46058487996490743	 f1(macro):0.4615243171599626	 acc:0.688622754491018
p:0.524725997598988	 r:0.4519344880374493	 f1(macro):0.46442031606698386	 acc:0.688622754491018
p:0.5128441810169337	 r:0.4715887691074488	 f1(macro):0.47002483032455433	 acc:0.6781437125748503
p:0.5437030734649783	 r:0.4500335485030682	 f1(macro):0.47014030419679226	 acc:0.687125748502994
p:0.5961168507745526	 r:0.4485990282046975	 f1(macro):0.48278972723168156	 acc:0.6946107784431138
p:0.604799000171379	 r:0.45347780140228416	 f1(macro):0.4953769170391099	 acc:0.6976047904191617
p:0.5655711778155231	 r:0.4760212821170077	 f1(macro):0.49685959077695574	 acc:0.7035928143712575
p:0.5799461404300114	 r:0.466274999812877	 f1(macro):0.49737203929725404	 acc:0.6961077844311377
************
Unfreezing leaky_re_lu_26
****************
p:0.6081685542031195	 r:0.457854301949281	 f1(macro):0.5005120320305358	 acc:0.7050898203592815
p:0.6174478258635996	 r:0.4627516154795337	 f1(macro):0.5066728000475949	 acc:0.7080838323353293
p:0.6301998722852703	 r:0.4688139107847787	 f1(macro):0.520378956656192	 acc:0.7110778443113772
************
Unfreezing dense_18
****************
p:0.6301998722852703	 r:0.4688139107847787	 f1(macro):0.520378956656192	 acc:0.7110778443113772
avg_prec: 0.6301998722852703 total_rec: 0.4688139107847787 total_f1: 0.520378956656192 total_acc: 0.7110778443113772 
