************
Unfreezing dense_21
****************
p:0.16291222729578894	 r:0.1269103766692966	 f1(macro):0.1083500680773942	 acc:0.5703592814371258
p:0.1629854778790949	 r:0.12720746520167928	 f1(macro):0.1084877048683141	 acc:0.5718562874251497
p:0.16502935862691961	 r:0.1308504524512239	 f1(macro):0.11396018974154362	 acc:0.5748502994011976
p:0.15969097932288118	 r:0.13419635116838588	 f1(macro):0.11858349577647825	 acc:0.5763473053892215
p:0.16654531333430414	 r:0.13449343970076855	 f1(macro):0.11914973339097851	 acc:0.5778443113772455
p:0.1607873210633947	 r:0.13631493332554084	 f1(macro):0.12119243113395162	 acc:0.5793413173652695
p:0.16170195676837043	 r:0.13813642695031317	 f1(macro):0.12360225140712945	 acc:0.5808383233532934
p:0.1795522302488247	 r:0.13830473558894094	 f1(macro):0.1257670745065703	 acc:0.5778443113772455
************
Unfreezing leaky_re_lu_31
****************
p:0.18562610229276896	 r:0.14059162638472367	 f1(macro):0.13000962429992577	 acc:0.5778443113772455
p:0.15972593781582548	 r:0.14758051235143027	 f1(macro):0.1362500081945182	 acc:0.5823353293413174
p:0.21793009701506433	 r:0.18690444018425	 f1(macro):0.18372128843450972	 acc:0.5853293413173652
p:0.29180911259636044	 r:0.22427855607522268	 f1(macro):0.19249035218243665	 acc:0.592814371257485
p:0.20595507794302975	 r:0.20574760314982557	 f1(macro):0.19373260136277742	 acc:0.5853293413173652
p:0.22448240128084349	 r:0.22444629839945396	 f1(macro):0.19949440967242824	 acc:0.5898203592814372
p:0.27732254587838967	 r:0.21650254413732467	 f1(macro):0.21078511052333043	 acc:0.5913173652694611
p:0.3900134192163177	 r:0.2143593044258187	 f1(macro):0.22170173969574977	 acc:0.6017964071856288
p:0.43219462434327127	 r:0.24571140482656734	 f1(macro):0.26091267264974066	 acc:0.6032934131736527
p:0.42426324173635993	 r:0.25425539059500024	 f1(macro):0.27603938482082	 acc:0.6152694610778443
p:0.4181124124088126	 r:0.27450604102561615	 f1(macro):0.2959333313189656	 acc:0.6167664670658682
p:0.49671742045931605	 r:0.28931745332610664	 f1(macro):0.31712737103602184	 acc:0.6317365269461078
p:0.4928508637198968	 r:0.2850137264485347	 f1(macro):0.3176586321305031	 acc:0.6302395209580839
p:0.4983317312729077	 r:0.2903765044805383	 f1(macro):0.3214904588688511	 acc:0.6272455089820359
p:0.5662221130358385	 r:0.3074310907458483	 f1(macro):0.33771286144463974	 acc:0.6347305389221557
p:0.537304070198807	 r:0.3157339465837557	 f1(macro):0.3386995303583226	 acc:0.6332335329341318
p:0.4834925048962757	 r:0.3081587992631343	 f1(macro):0.3418522307411196	 acc:0.6392215568862275
p:0.5587010489991927	 r:0.3204144667159616	 f1(macro):0.35395779719414233	 acc:0.6392215568862275
p:0.5439923703622334	 r:0.33195532620140367	 f1(macro):0.36002907939949413	 acc:0.6467065868263473
p:0.5572167808493919	 r:0.3345660320107826	 f1(macro):0.36646288408017225	 acc:0.6511976047904192
p:0.5404227562840691	 r:0.35218280003776053	 f1(macro):0.3934292089818072	 acc:0.6526946107784432
p:0.5579696466324373	 r:0.3555539702461429	 f1(macro):0.4004087364960335	 acc:0.6511976047904192
p:0.5898769811136513	 r:0.35698200924823054	 f1(macro):0.4132809270954015	 acc:0.6661676646706587
p:0.5432146926008221	 r:0.3714249325201425	 f1(macro):0.4180952804959077	 acc:0.6691616766467066
p:0.5666795987308808	 r:0.3714387325865353	 f1(macro):0.42058238451700525	 acc:0.6706586826347305
p:0.5620175146448683	 r:0.37967258845455143	 f1(macro):0.4250698857989078	 acc:0.6736526946107785
p:0.5565147868704527	 r:0.38038460754500547	 f1(macro):0.4273099455371789	 acc:0.6691616766467066
p:0.5455176319918301	 r:0.3878792014861603	 f1(macro):0.4322185379506746	 acc:0.6706586826347305
p:0.5557914178997925	 r:0.39021514319118017	 f1(macro):0.4340820028384339	 acc:0.6736526946107785
p:0.5593521872843608	 r:0.4222622042993131	 f1(macro):0.46579493642353564	 acc:0.6826347305389222
p:0.5625809079190048	 r:0.43407561376056253	 f1(macro):0.4690010116417146	 acc:0.6826347305389222
p:0.5794893172301341	 r:0.438353346171298	 f1(macro):0.4745566353438405	 acc:0.6811377245508982
p:0.5850230357290691	 r:0.45084210717659384	 f1(macro):0.4853774655186961	 acc:0.6976047904191617
p:0.592167748568492	 r:0.44659403533013786	 f1(macro):0.48609404820982416	 acc:0.7005988023952096
************
Unfreezing concatenate_7
****************
p:0.5801308575508549	 r:0.4636258736251517	 f1(macro):0.48969166506032974	 acc:0.7005988023952096
p:0.5796608486120567	 r:0.46876670760756806	 f1(macro):0.49459975428850567	 acc:0.6961077844311377
************
Unfreezing leaky_re_lu_35
****************
p:0.6009380143804844	 r:0.47037407781323637	 f1(macro):0.5009032300821047	 acc:0.6931137724550899
p:0.5951313105584869	 r:0.47092188138182894	 f1(macro):0.5010429427198688	 acc:0.6976047904191617
************
Unfreezing dense_21
****************
p:0.6078321712533169	 r:0.49878939175801495	 f1(macro):0.5247279632050675	 acc:0.7080838323353293
p:0.6078321712533169	 r:0.49878939175801495	 f1(macro):0.5247279632050675	 acc:0.7080838323353293
avg_prec: 0.6078321712533169 total_rec: 0.49878939175801495 total_f1: 0.5247279632050675 total_acc: 0.7080838323353293 
