************
Unfreezing dense_30
****************
p:0.1743615761880602	 r:0.12932604735883424	 f1(macro):0.11191103946667395	 acc:0.5748502994011976
p:0.16502935862691961	 r:0.1308504524512239	 f1(macro):0.11396018974154362	 acc:0.5748502994011976
p:0.15976405195394477	 r:0.13449343970076855	 f1(macro):0.11872142218577927	 acc:0.5778443113772455
p:0.1607142857142857	 r:0.1360178447931582	 f1(macro):0.12105444690810543	 acc:0.5778443113772455
p:0.1607873210633947	 r:0.13631493332554084	 f1(macro):0.12119243113395162	 acc:0.5793413173652695
p:0.16170195676837043	 r:0.13813642695031317	 f1(macro):0.12360225140712945	 acc:0.5808383233532934
p:0.18576335222393955	 r:0.13800764705655827	 f1(macro):0.12600188966422865	 acc:0.5763473053892215
************
Unfreezing leaky_re_lu_46
****************
p:0.18602867878230198	 r:0.14241312000949596	 f1(macro):0.13248829950444543	 acc:0.5793413173652695
p:0.17004066221318614	 r:0.14575901872665792	 f1(macro):0.13547683866202387	 acc:0.5808383233532934
p:0.16871832264613584	 r:0.14787760088381288	 f1(macro):0.13753685159362844	 acc:0.5838323353293413
p:0.1784627949387675	 r:0.15041657237531966	 f1(macro):0.14166389166389168	 acc:0.5823353293413174
p:0.17515399295222442	 r:0.15270346317110237	 f1(macro):0.14429195965108643	 acc:0.5823353293413174
p:0.27931669294518396	 r:0.16092662101290886	 f1(macro):0.15303685849858256	 acc:0.5808383233532934
p:0.277024577386682	 r:0.1642730860444673	 f1(macro):0.1561281269125741	 acc:0.5823353293413174
p:0.2288555544369498	 r:0.16351060034107423	 f1(macro):0.15692965905371192	 acc:0.5823353293413174
p:0.40650094390706754	 r:0.19362530009247558	 f1(macro):0.18961654937078262	 acc:0.5913173652694611
p:0.37594041389222116	 r:0.1928170072073062	 f1(macro):0.19401062815254902	 acc:0.592814371257485
p:0.34059863701523896	 r:0.1909495540405684	 f1(macro):0.19431904883998416	 acc:0.592814371257485
p:0.40505863005863	 r:0.212803930419961	 f1(macro):0.21303094925925548	 acc:0.5958083832335329
p:0.38482949798739274	 r:0.21239588784624203	 f1(macro):0.21820406003311443	 acc:0.6017964071856288
p:0.4051807564630474	 r:0.22398239632719472	 f1(macro):0.24068334609970077	 acc:0.6077844311377245
p:0.4599502220092244	 r:0.26135317017154924	 f1(macro):0.29499527226208355	 acc:0.6137724550898204
p:0.4050639304142387	 r:0.31552507918474515	 f1(macro):0.31580981176897627	 acc:0.6182634730538922
p:0.5018134802132368	 r:0.2947958391917643	 f1(macro):0.3279603917951689	 acc:0.6287425149700598
p:0.4751386630902833	 r:0.3068315999340629	 f1(macro):0.34563979338996664	 acc:0.6227544910179641
p:0.4675447371604944	 r:0.33089288764286806	 f1(macro):0.3648789053882231	 acc:0.6422155688622755
p:0.4814896369105281	 r:0.3259547161301455	 f1(macro):0.3684736413888956	 acc:0.6332335329341318
p:0.4791922411864005	 r:0.33246942158698994	 f1(macro):0.3712265647568038	 acc:0.6407185628742516
p:0.4951095421333517	 r:0.34070003372754526	 f1(macro):0.3817168689471019	 acc:0.6392215568862275
p:0.5415765841211265	 r:0.36696501005392795	 f1(macro):0.39237223123677856	 acc:0.6482035928143712
p:0.5187232949149192	 r:0.3656008094545738	 f1(macro):0.4073042088640352	 acc:0.6467065868263473
p:0.5221408988005821	 r:0.3883574998629735	 f1(macro):0.4209822174856902	 acc:0.655688622754491
p:0.5246233054978791	 r:0.3833978160691355	 f1(macro):0.4236827337546974	 acc:0.6511976047904192
p:0.5561272782596306	 r:0.37516859553459403	 f1(macro):0.42714878723025546	 acc:0.6526946107784432
p:0.535259722622293	 r:0.3908903298705287	 f1(macro):0.4303477962940183	 acc:0.6691616766467066
p:0.5347386988787104	 r:0.3920249667689306	 f1(macro):0.43373835866858124	 acc:0.6661676646706587
p:0.5596484315595924	 r:0.39235565079609336	 f1(macro):0.43554222303681595	 acc:0.6751497005988024
p:0.5458744665093871	 r:0.39413772623978566	 f1(macro):0.4365556238728716	 acc:0.6736526946107785
p:0.5598725348725349	 r:0.3996436005021456	 f1(macro):0.44618090529654825	 acc:0.6706586826347305
p:0.5455000215410389	 r:0.4069925796091317	 f1(macro):0.45008788879006306	 acc:0.6676646706586826
p:0.5610345965164488	 r:0.40523034282687903	 f1(macro):0.4533218508392128	 acc:0.6691616766467066
p:0.5640382253453778	 r:0.41593379612149783	 f1(macro):0.4576634268762522	 acc:0.6721556886227545
p:0.5653935037179225	 r:0.4245835226278376	 f1(macro):0.4716949666090326	 acc:0.6781437125748503
p:0.5615834420862238	 r:0.4464759471393756	 f1(macro):0.481004087050285	 acc:0.6721556886227545
************
Unfreezing concatenate_10
****************
p:0.5125376980611722	 r:0.4828745900215453	 f1(macro):0.4884499830783706	 acc:0.6796407185628742
p:0.5552139603213739	 r:0.48572176202585154	 f1(macro):0.49961883523205103	 acc:0.6841317365269461
p:0.5329419020333406	 r:0.48800945216675207	 f1(macro):0.5000565161065579	 acc:0.6796407185628742
p:0.589364100224182	 r:0.4688402230642079	 f1(macro):0.5038663152724069	 acc:0.6916167664670658
p:0.5786707436577819	 r:0.5128381930498682	 f1(macro):0.5220877059905283	 acc:0.6931137724550899
************
Unfreezing leaky_re_lu_50
****************
************
Unfreezing dense_30
****************
p:0.5786707436577819	 r:0.5128381930498682	 f1(macro):0.5220877059905283	 acc:0.6931137724550899
avg_prec: 0.5786707436577819 total_rec: 0.5128381930498682 total_f1: 0.5220877059905283 total_acc: 0.6931137724550899 
